Repo,Submodule,LOC,Dependencies
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-core,3461,1588
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-doc,410,1577
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-encrypt,1043,1578
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-excel,842,1575
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-idempotent,179,1577
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-json,177,1577
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-log,457,1576
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail,1753,1576
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mybatis,1858,1579
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-oss,458,1577
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-pay,299,1575
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter,191,1575
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-redis,1082,1576
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-satoken,533,1577
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-security,230,1574
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-sensitive,126,1574
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-sms,270,1576
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-tenant,563,1576
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-translation,313,1574
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-web,847,1581
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-extend\ruoyi-ai-copilot,8588,1667
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-extend\ruoyi-mcp-server,48,1655
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-modules\ruoyi-chat,3823,1593
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-modules\ruoyi-generator,3149,1585
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-modules\ruoyi-system,2880,1587
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-modules-api\ruoyi-chat-api,3666,1751
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-modules-api\ruoyi-knowledge-api,4393,2229
ageerle__ruoyi-ai,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-modules-api\ruoyi-system-api,14746,1583
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier,156,9
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\bukkit,2055,11
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\bungee,964,9
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\core,9735,10
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\example,527,2
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\jda,677,9
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\jda5,677,9
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\paper,266,12
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\sponge,985,9
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10,1075,9
aikar__commands,C:\Users\tyin363\Documents\repos\aikar__commands\velocity,800,9
aizuda__flowlong,C:\Users\tyin363\Documents\repos\aizuda__flowlong\flowlong-core,10325,14
aizuda__flowlong,C:\Users\tyin363\Documents\repos\aizuda__flowlong\flowlong-mybatis-plus,887,16
aizuda__flowlong,C:\Users\tyin363\Documents\repos\aizuda__flowlong\flowlong-solon-example,114,332
aizuda__flowlong,C:\Users\tyin363\Documents\repos\aizuda__flowlong\flowlong-solon-plugin,356,19
aizuda__flowlong,C:\Users\tyin363\Documents\repos\aizuda__flowlong\flowlong-spring-boot-example,143,1161
aizuda__flowlong,C:\Users\tyin363\Documents\repos\aizuda__flowlong\flowlong-spring-boot-starter,3429,1166
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-client\snail-job-client-common,3326,1594
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-client\snail-job-client-job-core,3672,1585
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-client\snail-job-client-retry-core,4064,1586
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-client-starter,170,1580
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-common\snail-job-common-core,9839,1593
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-common\snail-job-common-log,2292,1579
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-common\snail-job-common-model,1416,1578
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-datasource\snail-job-datasource-template,3994,1584
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-datasource\snail-job-dm8-datasource,11,1579
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-datasource\snail-job-kingbase-datasource,11,1579
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-datasource\snail-job-mariadb-datasource,11,1579
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-datasource\snail-job-mysql-datasource,11,1579
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-datasource\snail-job-oracle-datasource,11,1580
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-datasource\snail-job-postgres-datasource,11,1579
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-datasource\snail-job-sqlserver-datasource,11,1579
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-dispatcher\snail-job-server-common,9123,1599
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-dispatcher\snail-job-server-job-task,10527,1587
