Library_Name,Is_Transitive,normalised_score,num_bcs,num_unique_symbols
com.google.guava:guava,True,0.0,0.0,17
org.eclipse.rdf4j:rdf4j-common-io,True,0.0,0.0,1
org.eclipse.rdf4j:rdf4j-model,False,0.0,0.0,3
org.eclipse.rdf4j:rdf4j-model-api,True,0.0,0.0,7
org.eclipse.rdf4j:rdf4j-query,False,0.0,0.0,16
org.eclipse.rdf4j:rdf4j-queryalgebra-model,False,0.0,0.0,138
org.eclipse.rdf4j:rdf4j-queryparser-api,False,0.0,0.0,13
org.eclipse.rdf4j:rdf4j-queryparser-sparql,False,0.0,0.0,5
org.slf4j:slf4j-api,True,0.0,0.0,4
