submodule,normalised_direct_deps,normalised_transitive_deps
86dbs__dbsyncer_dbsyncer-connector-kafka,0,0.0
86dbs__dbsyncer_dbsyncer-connector-mysql,0.0,0
86dbs__dbsyncer_dbsyncer-connector-oracle,0.0,0.0
86dbs__dbsyncer_dbsyncer-connector-postgresql,0.0,0.0
86dbs__dbsyncer_dbsyncer-connector-sqlite,0,0
86dbs__dbsyncer_dbsyncer-connector-sqlserver,0.0,0.0
86dbs__dbsyncer_dbsyncer-manager,0,0
86dbs__dbsyncer_dbsyncer-parser,0,0
86dbs__dbsyncer_dbsyncer-plugin,0,0.0
86dbs__dbsyncer_dbsyncer-storage,0.0,0.015151515151515152
86dbs__dbsyncer_dbsyncer-web,0.0,0.0
94fzb__zrlog_package-web,0.0,0
94fzb__zrlog_web,0.0,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-azure,0,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-base-remote-engine,0.029411764705882353,0.07692307692307693
abstracta__jmeter-java-dsl_jmeter-java-dsl-blazemeter,0,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-bridge,0.0,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-cli,0.0,0.2
abstracta__jmeter-java-dsl_jmeter-java-dsl-dashboard,0.0,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-datadog,0,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-elasticsearch-listener,0,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-graphql,0.0,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-jdbc,0.2777777777777778,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-octoperf,0,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-parallel,0.0,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-prometheus,0,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-recorder,0.05405405405405406,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-wrapper,0,0
ageerle__ruoyi-ai_ruoyi-admin,0,0
