project,submodule,total_unique_dependencies,omitted_conflict_count,omitted_conflict_percentage,version_managed_count,version_managed_percentage
aizuda__snail-job,snail-job-client-job-core,106,0,0.0,4,3.77
aizuda__snail-job,snail-job-client-retry-core,110,0,0.0,3,2.73
aizuda__snail-job,snail-job-client-starter,107,0,0.0,4,3.74
aizuda__snail-job,snail-job-common-client-api,26,1,3.85,1,3.85
aizuda__snail-job,snail-job-common-core,65,1,1.54,3,4.62
aizuda__snail-job,snail-job-common-log,40,0,0.0,2,5.0
aizuda__snail-job,snail-job-common-server-api,26,1,3.85,1,3.85
aizuda__snail-job,snail-job-datasource-template,65,1,1.54,5,7.69
aizuda__snail-job,snail-job-server-common,113,2,1.77,8,7.08
aizuda__snail-job,snail-job-server-job-task,117,2,1.71,9,7.69
aizuda__snail-job,snail-job-server-retry-task,113,2,1.77,9,7.96
aizuda__snail-job,snail-job-server-starter,203,0,0.0,15,7.39
aizuda__snail-job,snail-job-server-ui,35,0,0.0,1,2.86
aizuda__snail-job,snail-job-server-web,147,3,2.04,13,8.84
akoserwal__keycloak-integrations,consumer,148,1,0.68,15,10.14
akoserwal__keycloak-integrations,producer,151,1,0.66,16,10.6
akoserwal__keycloak-integrations,keycloak-spi-kafka,69,7,10.14,0,0.0
akoserwal__keycloak-integrations,keycloak-event-listener-spi-and-kafka-producer,71,10,14.08,0,0.0
akoserwal__keycloak-integrations,mk-consumer-app,224,1,0.45,21,9.38
akoserwal__keycloak-integrations,quarkus-bff,179,1,0.56,13,7.26
akoserwal__keycloak-integrations,spring-boot-mvc-keycloak,80,0,0.0,0,0.0
akto-api-security__akto,billing,23,1,4.35,0,0.0
akto-api-security__akto,dashboard,146,17,11.64,1,0.68
akto-api-security__akto,data-ingestion-service,23,1,4.35,0,0.0
akto-api-security__akto,database-abstractor,23,1,4.35,0,0.0
akto-api-security__akto,internal,23,1,4.35,0,0.0
akto-api-security__akto,dao,136,17,12.5,1,0.74
akto-api-security__akto,integrations,13,4,30.77,0,0.0
akto-api-security__akto,protobuf,30,8,26.67,0,0.0
akto-api-security__akto,utils,71,13,18.31,1,1.41
Alanosy__online-exam-system-backend,Alanosy__online-exam-system-backend,285,0,0.0,0,0.0
albfernandez__javadbf,albfernandez__javadbf,5,0,0.0,0,0.0
albfernandez__juniversalchardet,albfernandez__juniversalchardet,7,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-common-circuit,4,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-common-data,18,0,0.0,1,5.56
alibaba-edu__mpc4j,mpc4j-common-rpc,37,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-common-sampler,16,1,6.25,2,12.5
alibaba-edu__mpc4j,mpc4j-common-structure,14,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-common-tool,23,0,0.0,1,4.35
alibaba-edu__mpc4j,mpc4j-crypto-algs,13,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-crypto-fhe-seal,19,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-crypto-phe,16,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-dp-cdp,5,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-dp-ldp,12,0,0.0,1,8.33
alibaba-edu__mpc4j,mpc4j-dp-service,10,0,0.0,1,10.0
alibaba-edu__mpc4j,mpc4j-s2pc-aby,27,0,0.0,2,7.41
alibaba-edu__mpc4j,mpc4j-s2pc-opf,5,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-s2pc-pcg,11,0,0.0,1,9.09
alibaba-edu__mpc4j,mpc4j-s2pc-pir,11,0,0.0,1,9.09
alibaba-edu__mpc4j,mpc4j-s2pc-pjc,8,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-s2pc-pso,8,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-s2pc-upso,8,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-s3pc-abb3,2,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-sml-opboost,26,1,3.85,2,7.69
alibaba-edu__mpc4j,mpc4j-work-db-dynamic,4,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-work-dpsi,10,0,0.0,0,0.0
alibaba-edu__mpc4j,femur-common,10,0,0.0,1,10.0
alibaba-edu__mpc4j,femur-rpc,3,0,0.0,0,0.0
alibaba-edu__mpc4j,femur-service,23,1,4.35,2,8.7
alibaba-edu__mpc4j,mpc4j-work-payable,5,0,0.0,0,0.0
alibaba-edu__mpc4j,mpc4j-work-psipir,7,0,0.0,0,0.0
alibaba-edu__mpc4j,scape-s3pc-db,6,0,0.0,0,0.0
alibaba-edu__mpc4j,scape-s3pc-opf,5,0,0.0,0,0.0
alibaba__arthas,agent,13,0,0.0,0,0.0
alibaba__arthas,arthas-agent-attach,16,0,0.0,1,6.25
alibaba__arthas,arthas-spring-boot-starter,71,0,0.0,6,8.45
alibaba__arthas,arthas-vmtool,15,0,0.0,1,6.67
alibaba__arthas,boot,14,0,0.0,0,0.0
alibaba__arthas,client,4,0,0.0,0,0.0
alibaba__arthas,common,0,0,0,0,0
alibaba__arthas,core,53,0,0.0,2,3.77
alibaba__arthas,arthas-grpc-server,52,5,9.62,7,13.46
alibaba__arthas,native-agent-common,54,12,22.22,1,1.85
alibaba__arthas,native-agent-management-web,64,12,18.75,3,4.69
alibaba__arthas,native-agent-proxy,56,12,21.43,1,1.79
alibaba__arthas,math-game,0,0,0,0,0
alibaba__arthas,memorycompiler,15,0,0.0,0,0.0
alibaba__arthas,spy,2,0,0.0,0,0.0
alibaba__arthas,testcase,0,0,0,0,0
alibaba__arthas,tunnel-client,14,0,0.0,0,0.0
