Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Release_Type,Usage_Location,Usage_Line,Usage_Context,Usage_Type
org.bouncycastle:bcprov-jdk18on,1.71,1.72,org.bouncycastle.pqc.crypto.gmss.Treehash,update,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.mock-server:mockserver-junit-rule,MINOR,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\mcp\impl\processes\DataImporter.java,244,update,FieldAccessExpr
org.slf4j:slf4j-jdk14,1.7.36,2.0.6,org.slf4j.impl.JDK14LoggerAdapter,info,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.mock-server:mockserver-junit-rule,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\wcm\properties\shared\impl\SharedComponentPropertiesPageInfoProvider.java,133,info,NameExpr
org.slf4j:slf4j-jdk14,1.7.36,2.0.6,org.slf4j.impl.JDK14LoggerAdapter,error,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.mock-server:mockserver-junit-rule,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\replication\impl\ReplicateVersionImpl.java,148,error,FieldAccessExpr
com.nimbusds:nimbus-jose-jwt,9.24.2,9.28,com.nimbusds.jose.shaded.gson.internal.UnsafeAllocator,create,METHOD_CHANGE,METHOD_LESS_ACCESSIBLE,false,false,true,2,org.mock-server:mockserver-junit-rule,MINOR,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\mcp\impl\processes\DataImporter.java,441,create,FieldAccessExpr
org.slf4j:slf4j-jdk14,1.7.36,2.0.6,org.slf4j.impl.JDK14LoggerAdapter,log,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.mock-server:mockserver-junit-rule,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\workflow\synthetic\impl\SyntheticWorkflowRunnerImpl.java,554,log,NameExpr
io.findify:s3mock_2.11,0.2.5,0.2.6,io.findify.s3mock.route.PutObjectMultipartStart,provider,METHOD_CHANGE,METHOD_REMOVED,false,false,false,1,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\util\OverridePathSlingRequestWrapper.java,108,provider,NameExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.JavaFlowAndRsConverters$Implicits$RsPublisherConverter,p,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\reports\models\ContainingPageReportCellCSVExporter.java,39,p,NameExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.scaladsl.FlowOps,throttle,METHOD_CHANGE,METHOD_ADDED_TO_INTERFACE,true,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\workflow\bulk\execution\model\Config.java,192,throttle,FieldAccessExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.io.ConnectionSourceStage,options,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\workflow\bulk\execution\impl\runners\SyntheticWorkflowRunnerImpl.java,77,options,NameExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.VirtualProcessor$Both$,create,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\mcp\impl\processes\DataImporter.java,441,create,FieldAccessExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.RsSubscriptionToJavaFlowAdapter,request,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\wcm\notifications\impl\SystemNotificationsImpl.java,330,request,FieldAccessExpr
com.typesafe.akka:akka-actor_2.11,2.5.11,2.5.31,akka.actor.TimerSchedulerImpl$TimerMsg,key,METHOD_CHANGE,METHOD_NOW_ABSTRACT,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\indesign\dynamicdeckdynamo\utils\XMLResourceIterator.java,47,key,FieldAccessExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.ActorRefSourceActor$,props,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\wcm\properties\shared\impl\SharedComponentPropertiesPageInfoProvider.java,133,props,NameExpr
org.scala-lang:scala-reflect,2.11.12,2.11.11,scala.reflect.io.JavaToolsPlatformArchive,iterator,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\indesign\dynamicdeckdynamo\utils\XMLResourceIterator.java,55,iterator,FieldAccessExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.JavaFlowAndRsConverters$Implicits$RsSubscriptionConverter,s,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\throttling\RequestThrottler.java,171,s,NameExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.ActorRefSourceActor,context,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\util\ResourceServiceManager.java,70,context,NameExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.RsSubscriptionToJavaFlowAdapter,delegate,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\rewriter\DelegatingTransformer.java,110,delegate,NameExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.ActorRefSourceActor,log,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\workflow\synthetic\impl\SyntheticWorkflowRunnerImpl.java,554,log,NameExpr
com.typesafe.akka:akka-actor_2.11,2.5.11,2.5.31,akka.io.SimpleDnsCache$ExpiryEntry,name,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\wcm\ComponentEditType.java,137,name,FieldAccessExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.ReducerState,update,METHOD_CHANGE,METHOD_NOW_ABSTRACT,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\mcp\impl\processes\DataImporter.java,244,update,FieldAccessExpr
com.typesafe.akka:akka-stream_2.11,2.5.11,2.5.31,akka.stream.impl.ActorRefSource,attributes,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\rewriter\impl\StaticReferenceRewriteTransformerFactory.java,274,attributes,FieldAccessExpr
org.scala-lang:scala-reflect,2.11.12,2.11.11,scala.reflect.io.JavaToolsPlatformArchive$$anonfun$iterator$2$FileEntry$4,lastModified,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,io.findify:s3mock_2.11,PATCH,C:\Users\tyin363\Documents\repos\Adobe-Consulting-Services__acs-aem-commons\bundle\src\main\java\com\adobe\acs\commons\contentsync\impl\LastModifiedStrategy.java,325,lastModified,FieldAccessExpr
