Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Release_Type,Usage_Location,Usage_Line,Usage_Context,Usage_Type
commons-net:commons-net,3.11.1,3.12.0,org.apache.commons.net.smtp.AuthenticatingSMTPClient,auth,METHOD_CHANGE,METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION,true,false,false,1,commons-net:commons-net,MINOR,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\sd\HttpSdCollectImpl.java,150,auth,NameExpr
com.dameng:DmJdbcDriver18,8.1.3.62,8.1.3.140,dm.jdbc.a.b.d,T,METHOD_CHANGE,METHOD_REMOVED,false,false,false,1,com.dameng:DmJdbcDriver18,PATCH,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\ipmi2\protocol\rmcp\RmcpPacket.java,80,T,ClassOrInterfaceType
com.dameng:DmJdbcDriver18,8.1.3.62,8.1.3.140,dm.jdbc.a.h,m,METHOD_CHANGE,METHOD_ADDED_TO_INTERFACE,true,false,false,1,com.dameng:DmJdbcDriver18,PATCH,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\ipmi2\client\handler\SensorHandler.java,118,m,FieldAccessExpr
com.dameng:DmJdbcDriver18,8.1.3.62,8.1.3.140,dm.jdbc.a.a.y,t,METHOD_CHANGE,METHOD_REMOVED,false,false,false,1,com.dameng:DmJdbcDriver18,PATCH,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\redis\RedisCommonCollectImpl.java,340,t,NameExpr
com.dameng:DmJdbcDriver18,8.1.3.62,8.1.3.140,dm.jdbc.a.a.r,A,METHOD_CHANGE,METHOD_REMOVED,false,false,false,1,com.dameng:DmJdbcDriver18,PATCH,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\sd\DnsSdCollectImpl.java,110,A,FieldAccessExpr
com.dameng:DmJdbcDriver18,8.1.3.62,8.1.3.140,dm.jdbc.a.a.b,i,METHOD_CHANGE,METHOD_REMOVED,false,false,false,1,com.dameng:DmJdbcDriver18,PATCH,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\prometheus\parser\OnlineParser.java,307,i,FieldAccessExpr
com.dameng:DmJdbcDriver18,8.1.3.62,8.1.3.140,dm.jdbc.a.a.y,b,METHOD_CHANGE,METHOD_REMOVED,false,false,false,1,com.dameng:DmJdbcDriver18,PATCH,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\ipmi2\client\handler\SensorHandler.java,118,b,FieldAccessExpr
org.bouncycastle:bcutil-jdk15on,1.69,1.70,org.bouncycastle.asn1.its.SequenceOfOctetString,size,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.bouncycastle:bcpkix-jdk15on,MINOR,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\pop3\Pop3CollectImpl.java,169,size,FieldAccessExpr
commons-net:commons-net,3.11.1,3.12.0,org.apache.commons.net.smtp.AuthenticatingSMTPClient,auth,METHOD_CHANGE,METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION,true,false,true,2,org.apache.plc4x:plc4j-driver-modbus,MINOR,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\sd\HttpSdCollectImpl.java,150,auth,NameExpr
