Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Release_Type,Usage_Location,Usage_Line,Usage_Context,Usage_Type
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONNavi,root,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\util\ProgramConverter.java,572,root,NameExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONNavi,at,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\controlprogram\federated\FederationMap.java,259,at,NameExpr
org.apache.hadoop:hadoop-common,3.3.6,3.4.0,org.apache.hadoop.io.IOUtils,cleanup,METHOD_CHANGE,METHOD_REMOVED; ANNOTATION_REMOVED,false,false,false,1,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\util\HDFSTool.java,632,"org.apache.hadoop.io.IOUtils.copyBytes(java.io.InputStream, java.io.OutputStream, org.apache.hadoop.conf.Configuration, boolean)",MethodCallExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONNavi,up,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\util\UtilFunctions.java,487,up,NameExpr
org.apache.commons:commons-compress,1.21,1.24.0,org.apache.commons.compress.archivers.Lister,main,METHOD_CHANGE,METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION; METHOD_NOW_THROWS_CHECKED_EXCEPTION,true,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\instructions\spark\SpoofSPInstruction.java,285,main,NameExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.reader.JsonWriter,init,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\matrix\data\MatrixBlock.java,3827,init,NameExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONValue,compress,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\hops\rewrite\RewriteCompressedReblock.java,111,compress,NameExpr
commons-cli:commons-cli,1.2,1.5.0,org.apache.commons.cli.HelpFormatter,optionComparator,FIELD_CHANGE,FIELD_GENERICS_CHANGED,true,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\api\DMLScript.java,293,org.apache.commons.cli.HelpFormatter,NameExpr
org.apache.avro:avro,1.7.7,1.9.2,org.apache.avro.Schema$Field,defaultValue,METHOD_CHANGE,METHOD_LESS_ACCESSIBLE; METHOD_RETURN_TYPE_CHANGED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\resource\ResourceOptimizer.java,512,defaultValue,NameExpr
commons-cli:commons-cli,1.2,1.5.0,org.apache.commons.cli.PosixParser,flatten,METHOD_CHANGE,METHOD_NOW_THROWS_CHECKED_EXCEPTION,true,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\api\DMLOptions.java,136,org.apache.commons.cli.PosixParser,ClassOrInterfaceType
org.apache.avro:avro,1.7.7,1.9.2,org.apache.avro.Schema$Field,props,METHOD_CHANGE,METHOD_REMOVED; ANNOTATION_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\io\ReaderTextCSVParallel.java,71,props,NameExpr
org.apache.avro:avro,1.7.7,1.9.2,org.apache.avro.data.Json$Reader,read,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\controlprogram\federated\FederatedStatistics.java,118,read,NameExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONNavi,object,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\instructions\cp\VariableCPInstruction.java,812,object,NameExpr
commons-io:commons-io,2.8.0,2.14.0,org.apache.commons.io.IOUtils,toString,METHOD_CHANGE,METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION,true,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\utils\NativeHelper.java,343,"org.apache.commons.io.IOUtils.copy(java.io.InputStream, java.io.OutputStream)",MethodCallExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONNavi,set,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\transform\encode\MultiColumnEncoder.java,1125,set,NameExpr
org.apache.avro:avro,1.7.7,1.9.2,org.apache.avro.data.Json$Writer,write,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\controlprogram\caching\CacheableData.java,761,write,NameExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONObject,merge,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\controlprogram\ParForProgramBlock.java,537,merge,NameExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONNavi,array,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\util\UtilFunctions.java,803,array,NameExpr
org.apache.commons:commons-compress,1.21,1.24.0,org.apache.commons.compress.archivers.examples.Expander,expand,METHOD_CHANGE,METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION,true,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\parser\BuiltinFunctionExpression.java,844,expand,NameExpr
commons-io:commons-io,2.8.0,2.14.0,org.apache.commons.io.IOUtils,close,METHOD_CHANGE,METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION; METHOD_NOW_THROWS_CHECKED_EXCEPTION,true,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\hops\codegen\template\CPlanMemoTable.java,398,close,NameExpr
org.apache.kerby:kerb-common,1.0.1,2.0.3,org.apache.kerby.kerberos.kerb.preauth.pkinit.PkinitIdenity,initialize,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,PATCH,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\instructions\gpu\context\GPUMemoryManager.java,430,initialize,NameExpr
org.apache.commons:commons-math3,3.1.1,3.6.1,org.apache.commons.math3.geometry.partitioning.Transform,apply,METHOD_CHANGE,METHOD_ADDED_TO_INTERFACE,true,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\controlprogram\parfor\opt\OptimizerRuleBased.java,1613,apply,NameExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONStyle,ignoreNull,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\util\UtilFunctions.java,726,ignoreNull,NameExpr
com.nimbusds:nimbus-jose-jwt,9.8.1,9.31,com.nimbusds.jose.shaded.json.JSONNavi,add,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\controlprogram\caching\CacheableData.java,1408,add,NameExpr
org.apache.hadoop:hadoop-common,3.3.6,3.4.0,org.apache.hadoop.log.Log4Json,format,METHOD_CHANGE,METHOD_REMOVED,false,false,false,1,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\matrix\data\MatrixBlock.java,2125,format,NameExpr
org.apache.hadoop:hadoop-common,3.3.6,3.4.0,org.apache.hadoop.fs.FileSystem,LOG,FIELD_CHANGE,FIELD_TYPE_CHANGED,false,false,false,1,org.apache.hadoop:hadoop-common,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\utils\stats\InfrastructureAnalyzer.java,207,org.apache.hadoop.fs.FileSystem,ClassOrInterfaceType
org.apache.kerby:token-provider,1.0.1,2.0.3,org.apache.kerby.kerberos.provider.token.JwtUtil,from,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.apache.hadoop:hadoop-common,PATCH,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\util\UtilFunctions.java,458,from,NameExpr
org.apache.commons:commons-lang3,3.12.0,3.17.0,org.apache.commons.lang3.stream.Streams,stream,METHOD_CHANGE,ANNOTATION_DEPRECATED_ADDED; CLASS_GENERIC_TEMPLATE_CHANGED,true,false,true,2,org.apache.hadoop:hadoop-client,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\instructions\gpu\context\JCudaKernels.java,102,stream,FieldAccessExpr
org.apache.commons:commons-lang3,3.12.0,3.17.0,org.apache.commons.lang3.Range,between,METHOD_CHANGE,ANNOTATION_DEPRECATED_ADDED; CLASS_GENERIC_TEMPLATE_GENERICS_CHANGED,true,false,true,2,org.apache.hadoop:hadoop-client,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\iogen\FormatIdentifyer.java,1497,between,NameExpr
org.apache.commons:commons-lang3,3.12.0,3.17.0,org.apache.commons.lang3.ObjectUtils,toString,METHOD_CHANGE,CLASS_GENERIC_TEMPLATE_CHANGED,true,false,true,2,org.apache.hadoop:hadoop-client,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\hops\ParameterizedBuiltinOp.java,1056,"org.apache.commons.lang3.ObjectUtils.defaultIfNull(T, T)",MethodCallExpr
org.apache.commons:commons-lang3,3.12.0,3.17.0,org.apache.commons.lang3.StringUtils,toString,METHOD_CHANGE,METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION,true,false,true,2,org.apache.hadoop:hadoop-client,MINOR,C:\Users\tyin363\Documents\repos\apache__systemds\src\main\java\org\apache\sysds\runtime\util\PorterStemmer.java,309,"org.apache.commons.lang3.StringUtils.removeEnd(java.lang.String, java.lang.String)",MethodCallExpr
