project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
apache__commons-io,apache__commons-io,org.junit.platform:junit-platform-launcher,1.11.4,1.9.0,2,2,test,test,version_managed
apache__commons-io,apache__commons-io,net.bytebuddy:byte-buddy,1.17.5,1.12.19,1,3,test,test,omitted_conflict
apache__commons-io,apache__commons-io,net.bytebuddy:byte-buddy-agent,1.17.5,1.12.19,1,3,test,test,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
apache__commons-io,29,,,,,,,,
