Repo Name,Repo Size (KB),Has Commit 30,Has Commit 60,Has Commit 90,Has Commit 180,Has Commit 365
android-async-http/android-async-http,3063,False,False,False,False,False
jeasonlzy/okhttp-OkGo,84860,False,False,False,False,False
asLody/VirtualApp,35229,True,True,True,True,True
google/auto,44343,True,True,True,True,True
lipangit/JiaoZiVideoPlayer,143896,False,False,False,False,False
tbruyelle/RxPermissions,587,False,False,False,False,False
beemdevelopment/Aegis,21788,False,True,True,True,True
LawnchairLauncher/lawnchair,645527,True,True,True,True,True
Activiti/Activiti,125874,True,True,True,True,True
JessYanCoding/MVPArms,5963,False,False,False,False,False
resilience4j/resilience4j,8496,True,True,True,True,True
JakeWharton/ViewPagerIndicator,8657,False,False,False,False,False
zfile-dev/zfile,49379,True,True,True,True,True
StarRocks/starrocks,502831,True,True,True,True,True
awsdocs/aws-doc-sdk-examples,252210,True,True,True,True,True
ssssssss-team/spider-flow,3382,False,False,False,False,False
microg/GmsCore,13353,False,True,True,True,True
wasabeef/glide-transformations,26509,False,False,False,False,False
stanfordnlp/CoreNLP,397044,True,True,True,True,True
googlesamples/easypermissions,635,False,False,False,False,False
paascloud/paascloud-master,16083,False,False,False,False,False
uknownothingsnow/JsBridge,649,False,False,False,False,False
hackware1993/MagicIndicator,54749,False,False,False,True,True
HarlonWang/AVLoadingIndicatorView,14399,False,False,False,False,False
signalapp/Signal-Server,18943,True,True,True,True,True
YoKeyword/Fragmentation,29343,False,False,False,False,False
OpenFeign/feign,9818,True,True,True,True,True
perwendel/spark,2503,False,False,False,False,False
lihengming/spring-boot-api-project-seed,77,False,False,False,False,False
ksoichiro/Android-ObservableScrollView,13780,False,False,False,False,False
react-native-camera/react-native-camera,17586,False,False,False,False,False
SonarSource/sonarqube,960875,True,True,True,True,True
koral--/android-gif-drawable,6060,False,False,False,False,True
bilibili/DanmakuFlameMaster,3580,False,False,False,False,False
liaohuqiu/android-Ultra-Pull-To-Refresh,3474,False,False,False,False,False
MyCATApache/Mycat-Server,19570,False,False,False,False,False
umano/AndroidSlidingUpPanel,2861,False,False,False,False,False
spinnaker/spinnaker,191354,True,True,True,True,True
xuchengsheng/spring-reading,2808,False,False,False,False,True
crossoverJie/cim,34876,True,True,True,True,True
pockethub/PocketHub,11945,False,False,False,False,False
Justson/AgentWeb,29032,False,False,False,False,False
huanghaibin-dev/CalendarView,156814,False,False,False,True,True
GcsSloop/AndroidNote,7036,False,False,False,False,False
android/testing-samples,12132,False,False,False,True,True
apache/cassandra,443275,True,True,True,True,True
spring-projects/spring-security,81266,True,True,True,True,True
json-path/JsonPath,2694,False,False,False,False,False
cats-oss/android-gpuimage,1368,False,False,False,False,False
seven332/EhViewer,111228,False,False,False,False,False
didi/VirtualAPK,1010,False,False,False,False,False
navasmdc/MaterialDesignLibrary,8930,False,False,False,False,False
KunMinX/Jetpack-MVVM-Best-Practice,10737,False,False,False,False,False
nathanmarz/storm,27015,False,False,False,False,False
