library_name,version_selected,conflicting_version,project,conflict_type
commons-codec:commons-codec,1.18.0,1.11,3,version_managed
commons-codec:commons-codec,1.17.2,1.11,3,version_managed
org.slf4j:slf4j-api,2.0.16,1.7.30,3,version_managed
commons-io:commons-io,2.18.0,2.16.1,3,version_managed
commons-logging:commons-logging,1.2,1.1.1,3,omitted_conflict
org.slf4j:slf4j-api,2.0.17,2.0.13,3,omitted_conflict
org.glassfish.jaxb:jaxb-runtime,4.0.5,4.0.2,3,version_managed
org.apache.httpcomponents:httpcore,4.4.16,4.4.15,3,version_managed
commons-codec:commons-codec,1.14,1.11,3,omitted_conflict
com.google.errorprone:error_prone_annotations,2.30.0,2.28.0,3,version_managed
org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.8.21,1.9.10,3,omitted_conflict
org.slf4j:slf4j-api,2.0.17,1.7.21,3,omitted_conflict
org.jetbrains:annotations,13.0,17.0.0,3,omitted_conflict
com.google.j2objc:j2objc-annotations,3.0.0,1.3,3,omitted_conflict
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.18.3,2.18.2,3,version_managed
org.slf4j:slf4j-api,1.7.36,1.7.21,3,version_managed
org.slf4j:slf4j-api,2.0.16,2.0.9,3,omitted_conflict
com.google.code.findbugs:jsr305,3.0.2,2.0.1,3,omitted_conflict
com.google.code.findbugs:jsr305,3.0.2,1.3.9,3,version_managed
com.google.code.findbugs:jsr305,3.0.1,3.0.2,3,omitted_conflict
org.slf4j:slf4j-api,2.0.16,2.0.11,3,version_managed
org.slf4j:slf4j-api,1.7.36,1.7.32,3,version_managed
org.slf4j:slf4j-api,1.7.36,1.7.7,3,omitted_conflict
org.slf4j:slf4j-api,1.7.36,2.0.16,3,omitted_conflict
org.slf4j:slf4j-api,2.0.13,2.0.16,3,omitted_conflict
org.apache.httpcomponents:httpcore,4.4.15,4.4.13,3,omitted_conflict
org.slf4j:slf4j-api,2.0.17,2.0.16,3,version_managed
org.apache.commons:commons-lang3,3.12.0,3.14.0,3,version_managed
jakarta.transaction:jakarta.transaction-api,2.0.1,1.3.3,3,version_managed
jakarta.ws.rs:jakarta.ws.rs-api,3.1.0,3.0.0,3,version_managed
net.minidev:json-smart,2.4.10,2.4.7,3,version_managed
javax.servlet:javax.servlet-api,4.0.1,3.1.0,3,version_managed
javax.xml.bind:jaxb-api,2.3.1,2.2.11,3,version_managed
net.bytebuddy:byte-buddy,1.15.11,1.17.5,3,omitted_conflict
org.opentest4j:opentest4j,1.3.0,1.2.0,2,omitted_conflict
com.google.guava:failureaccess,1.0.3,1.0.1,2,omitted_conflict
com.google.guava:failureaccess,1.0.1,1.0.2,2,omitted_conflict
com.google.errorprone:error_prone_annotations,2.38.0,2.28.0,2,omitted_conflict
com.google.errorprone:error_prone_annotations,2.37.0,2.36.0,2,version_managed
com.google.errorprone:error_prone_annotations,2.36.0,2.28.0,2,omitted_conflict
net.minidev:json-smart,2.5.2,2.5.0,2,omitted_conflict
com.google.guava:guava,31.1-jre,29.0-android,2,omitted_conflict
com.google.errorprone:error_prone_annotations,2.30.0,2.10.0,2,omitted_conflict
io.projectreactor.addons:reactor-pool,0.2.12,0.2.9,2,version_managed
com.google.errorprone:error_prone_annotations,2.28.0,2.27.0,2,omitted_conflict
com.google.errorprone:error_prone_annotations,2.28.0,2.26.1,2,omitted_conflict
org.slf4j:jcl-over-slf4j,2.0.16,1.7.36,2,version_managed
org.slf4j:slf4j-api,1.7.25,1.7.36,2,omitted_conflict
org.objenesis:objenesis,3.4,3.3,2,omitted_conflict
com.google.guava:guava,31.1-jre,31.0.1-android,2,omitted_conflict
com.google.guava:guava,31.1-jre,30.1-jre,2,version_managed
org.junit.jupiter:junit-jupiter-api,5.11.4,5.8.2,2,version_managed
com.microsoft.azure:msal4j,1.19.1,1.15.0,2,omitted_conflict
io.netty:netty-transport-native-unix-common,4.1.118.Final,4.1.112.Final,2,omitted_conflict
com.jayway.jsonpath:json-path,2.9.0,2.7.0,2,version_managed
org.jetbrains:annotations,17.0.0,13.0,2,omitted_conflict
org.jetbrains:annotations,RELEASE,13.0,2,omitted_conflict
org.jspecify:jspecify,1.0.0,0.3.0,2,omitted_conflict
com.google.j2objc:j2objc-annotations,3.0.0,2.8,2,omitted_conflict
org.slf4j:slf4j-api,1.7.26,2.0.13,2,omitted_conflict
org.apache.commons:commons-compress,1.26.1,1.24.0,2,omitted_conflict
org.junit.jupiter:junit-jupiter-api,5.12.2,5.11.4,2,omitted_conflict
com.google.guava:guava,33.4.8-jre,33.2.1-android,2,omitted_conflict
com.google.guava:guava,33.4.8-jre,31.1-jre,2,omitted_conflict
com.google.guava:guava,33.4.8-jre,31.0.1-jre,2,omitted_conflict
com.google.guava:guava,33.3.1-jre,32.1.2-jre,2,version_managed
org.slf4j:slf4j-api,1.7.26,1.7.36,2,omitted_conflict
org.slf4j:slf4j-api,1.7.32,1.7.36,2,omitted_conflict
org.slf4j:slf4j-api,1.7.30,1.7.36,2,version_managed
junit:junit,4.13.2,4.12,2,omitted_conflict
jakarta.xml.bind:jakarta.xml.bind-api,3.0.1,2.3.3,2,omitted_conflict
javax.cache:cache-api,1.1.1,1.1.0,2,version_managed
org.slf4j:slf4j-api,2.0.17,1.7.32,2,version_managed
org.slf4j:slf4j-api,2.0.17,1.7.30,2,omitted_conflict
jakarta.validation:jakarta.validation-api,3.0.2,2.0.2,2,omitted_conflict
org.slf4j:slf4j-api,2.0.16,2.0.7,2,omitted_conflict
jakarta.transaction:jakarta.transaction-api,2.0.1,2.0.0,2,version_managed
org.slf4j:slf4j-api,2.0.16,2.0.17,2,omitted_conflict
com.github.ben-manes.caffeine:caffeine,3.1.8,2.9.3,2,version_managed
javax.xml.bind:jaxb-api,2.3.0,2.3.1,2,version_managed
junit:junit,4.12,4.13.2,2,version_managed
junit:junit,4.13.1,4.13.2,2,omitted_conflict
jakarta.activation:jakarta.activation-api,2.1.1,2.1.0,2,version_managed
org.slf4j:slf4j-api,2.0.13,2.0.11,2,version_managed
org.slf4j:slf4j-api,2.0.13,1.7.30,2,omitted_conflict
org.slf4j:slf4j-api,1.7.32,1.7.25,2,omitted_conflict
org.slf4j:slf4j-api,2.0.13,1.7.25,2,omitted_conflict
org.slf4j:slf4j-api,2.0.11,2.0.9,2,omitted_conflict
jakarta.activation:jakarta.activation-api,2.0.1,2.1.0,2,omitted_conflict
com.google.auto:auto-common,1.2.2,1.2.1,2,omitted_conflict
junit:junit,4.13.2,4.13.1,2,version_managed
net.bytebuddy:byte-buddy,1.12.23,1.12.10,2,version_managed
net.bytebuddy:byte-buddy,1.12.23,1.12.18,2,version_managed
net.bytebuddy:byte-buddy,1.15.11,1.15.4,2,version_managed
net.bytebuddy:byte-buddy-agent,1.12.23,1.12.16,2,version_managed
io.projectreactor:reactor-core,3.7.5,3.7.3,2,version_managed
net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,2,version_managed
com.google.code.gson:gson,2.11.0,2.1,2,version_managed
com.google.code.gson:gson,2.11.0,2.8.9,2,version_managed
io.netty:netty-handler,4.1.118.Final,4.1.112.Final,2,omitted_conflict
io.netty:netty-transport-native-epoll,4.1.118.Final,4.1.112.Final,2,omitted_conflict
org.apache.httpcomponents:httpclient,4.5.14,4.5.3,2,version_managed
io.netty:netty-transport,4.1.121.Final,4.1.118.Final,2,version_managed
commons-logging:commons-logging,1.2,1.1.3,2,omitted_conflict
org.checkerframework:checker-qual,3.43.0,3.37.0,2,omitted_conflict
org.checkerframework:checker-qual,3.46.0,3.43.0,2,version_managed
org.apache.httpcomponents.core5:httpcore5,5.2.5,5.2.4,2,version_managed
org.codehaus.plexus:plexus-classworlds,2.8.0,2.6.0,2,omitted_conflict
org.ehcache:ehcache,3.10.8,3.9.9,2,version_managed
org.glassfish.hk2:hk2-api,3.1.1,3.0.6,2,omitted_conflict
org.glassfish.jaxb:jaxb-runtime,2.3.9,"[2.2,3",2,version_managed
org.apache.httpcomponents.client5:httpclient5,5.4.3,5.4.2,2,version_managed
org.glassfish.jersey.connectors:jersey-apache-connector,3.1.10,3.0.5,2,version_managed
org.glassfish:jakarta.el,3.0.4,3.0.3,2,version_managed
io.netty:netty-resolver,4.1.118.Final,4.1.112.Final,2,omitted_conflict
org.hamcrest:hamcrest,3.0,2.2,2,omitted_conflict
io.netty:netty-resolver,4.1.119.Final,4.1.118.Final,2,version_managed
org.hamcrest:hamcrest-core,3.0,1.3,2,version_managed
org.hswebframework:hsweb-utils,3.0.4,3.0.2,2,version_managed
org.checkerframework:checker-qual,3.33.0,3.19.0,2,omitted_conflict
io.netty:netty-buffer,4.1.118.Final,4.1.112.Final,2,omitted_conflict
io.netty:netty-buffer,4.1.119.Final,4.1.118.Final,2,version_managed
io.netty:netty-common,4.1.119.Final,4.1.118.Final,2,version_managed
io.netty:netty-handler,4.1.111.Final,4.1.82.Final,2,version_managed
org.apache.httpcomponents:httpclient,4.5.14,4.5.12,2,version_managed
io.netty:netty-handler,4.1.119.Final,4.1.118.Final,2,version_managed
org.apache.httpcomponents:httpcore,4.4.16,4.4.14,2,version_managed
io.netty:netty-handler-proxy,4.1.118.Final,4.1.112.Final,2,omitted_conflict
org.apache.httpcomponents:httpcore,4.4.16,4.4.6,2,version_managed
io.netty:netty-common,4.1.118.Final,4.1.112.Final,2,omitted_conflict
io.netty:netty-codec,4.1.118.Final,4.1.112.Final,2,omitted_conflict
io.netty:netty-common,4.1.111.Final,4.1.82.Final,2,version_managed
org.apache.logging.log4j:log4j-api,2.17.2,2.17.1,2,version_managed
io.netty:netty-codec-http2,4.1.119.Final,4.1.118.Final,2,version_managed
io.netty:netty-codec-http2,4.1.118.Final,4.1.112.Final,2,omitted_conflict
io.netty:netty-codec-http,4.1.119.Final,4.1.118.Final,2,version_managed
io.netty:netty-codec-http,4.1.118.Final,4.1.112.Final,2,omitted_conflict
org.javassist:javassist,3.30.2-GA,3.22.0-GA,2,version_managed
org.apache.commons:commons-text,1.12.0,1.11.0,2,version_managed
org.jetbrains.kotlin:kotlin-stdlib-common,1.9.10,1.8.21,2,omitted_conflict
commons-logging:commons-logging,1.2,1.0.4,2,omitted_conflict
io.netty:netty-transport,4.1.111.Final,4.1.82.Final,2,version_managed
commons-codec:commons-codec,1.17.2,1.9,2,version_managed
org.apache.commons:commons-lang3,3.14.0,3.13.0,2,version_managed
commons-codec:commons-codec,1.17.2,1.16.1,2,version_managed
io.netty:netty-transport,4.1.118.Final,4.1.112.Final,2,omitted_conflict
org.jetbrains.kotlin:kotlin-stdlib,1.6.21,1.4.10,2,version_managed
commons-codec:commons-codec,1.17.1,1.11,2,version_managed
io.netty:netty-transport,4.1.119.Final,4.1.116.Final,2,version_managed
commons-codec:commons-codec,1.15,1.10,2,version_managed
io.netty:netty-transport,4.1.119.Final,4.1.118.Final,2,version_managed
org.jetbrains.kotlin:kotlin-stdlib-common,1.6.21,1.4.0,2,version_managed
commons-codec:commons-codec,1.13,1.11,2,version_managed
commons-cli:commons-cli,1.9.0,1.4,2,omitted_conflict
commons-beanutils:commons-beanutils,1.9.4,1.8.3,2,omitted_conflict
jakarta.xml.bind:jakarta.xml.bind-api,4.0.2,3.0.1,2,version_managed
commons-codec:commons-codec,1.18.0,1.17.0,2,version_managed
commons-codec:commons-codec,1.18.0,1.17.1,2,version_managed
commons-io:commons-io,2.11.0,2.15.1,2,omitted_conflict
org.jboss.logging:jboss-logging,3.5.3.Final,3.4.3.Final,2,version_managed
commons-logging:commons-logging,1.1.3,1.2,2,omitted_conflict
commons-logging:commons-logging,1.1.1,1.2,2,omitted_conflict
org.apache.commons:commons-pool2,2.12.1,2.12.0,2,version_managed
org.apache.commons:commons-lang3,3.17.0,3.16.0,2,version_managed
commons-lang:commons-lang,2.6,2.4,2,omitted_conflict
commons-io:commons-io,2.7,2.11.0,2,version_managed
org.slf4j:slf4j-api,2.0.17,2.0.2,2,version_managed
commons-io:commons-io,2.14.0,2.15.1,2,omitted_conflict
org.apache.commons:commons-lang3,3.16.0,3.14.0,2,version_managed
commons-io:commons-io,2.18.0,2.11.0,2,version_managed
org.jboss.logging:jboss-logging,3.6.1.Final,3.5.0.Final,2,version_managed
org.jboss.logging:jboss-logging-annotations,2.2.1.Final,2.2.0.Final,2,omitted_conflict
org.jboss.logging:jboss-logging-processor,2.2.1.Final,2.2.0.Final,2,omitted_conflict
commons-io:commons-io,2.15.0,2.11.0,2,omitted_conflict
org.jetbrains.kotlin:kotlin-stdlib-common,1.8.21,1.9.10,2,omitted_conflict
jakarta.xml.bind:jakarta.xml.bind-api,4.0.2,4.0.0,2,version_managed
com.fasterxml.jackson.core:jackson-annotations,2.18.2,2.10.3,2,omitted_conflict
org.yaml:snakeyaml,2.3,2.4,2,omitted_conflict
com.fasterxml.jackson.core:jackson-databind,2.18.3,2.18.1,2,omitted_conflict
org.springframework.boot:spring-boot-autoconfigure,3.4.5,3.4.4,2,version_managed
com.fasterxml.jackson.core:jackson-databind,2.18.3,2.15.4,2,omitted_conflict
org.springframework.security:spring-security-crypto,6.4.5,6.4.3,2,version_managed
org.yaml:snakeyaml,2.0,2.3,2,version_managed
com.carrotsearch:hppc,0.9.1,0.8.1,2,version_managed
org.yaml:snakeyaml,2.2,2.0,2,version_managed
com.fasterxml.jackson.core:jackson-core,2.18.3,2.17.2,2,version_managed
org.springframework:spring-core,5.3.39,5.3.31,2,version_managed
com.fasterxml.jackson.datatype:jackson-datatype-jdk8,2.18.3,2.18.2,2,version_managed
com.fasterxml.jackson.core:jackson-annotations,2.18.3,2.10.3,2,omitted_conflict
com.fasterxml.jackson.core:jackson-annotations,2.17.2,2.10.3,2,omitted_conflict
com.fasterxml.jackson.core:jackson-core,2.18.3,2.13.5,2,version_managed
com.fasterxml.jackson.core:jackson-annotations,2.18.3,2.18.2,2,version_managed
org.apache.logging.log4j:log4j-slf4j-impl,2.17.2,2.24.1,1,version_managed
org.apache.zookeeper:zookeeper,3.4.14,3.4.13,1,omitted_conflict
org.springframework:spring-messaging,6.2.0,6.2.2,1,version_managed
org.apache.lucene:lucene-queryparser,7.1.0,5.1.0,1,omitted_conflict
org.apache.zookeeper:zookeeper,3.9.2,3.6.2,1,version_managed
org.apache.lucene:lucene-core,7.1.0,5.1.0,1,omitted_conflict
org.apache.lucene:lucene-analyzers-common,7.1.0,5.1.0,1,omitted_conflict
org.springframework:spring-jdbc,5.3.27,5.3.26,1,version_managed
org.apache.logging.log4j:log4j-to-slf4j,2.18.0,2.17.2,1,version_managed
org.apache.logging.log4j:log4j-slf4j2-impl,2.23.1,2.24.3,1,version_managed
org.apache.logging.log4j:log4j-slf4j-impl,2.20.0,2.18.0,1,version_managed
org.apache.logging.log4j:log4j-core,2.24.3,2.17.1,1,version_managed
org.apache.xmlgraphics:xmlgraphics-commons,2.9,2.10,1,version_managed
org.springframework:spring-messaging,6.2.6,6.2.2,1,version_managed
org.apache.logging.log4j:log4j-core,2.20.0,2.18.0,1,version_managed
org.apache.zookeeper:zookeeper,3.9.2,3.9.1,1,version_managed
org.springframework:spring-oxm,5.3.39,5.3.31,1,version_managed
org.apache.logging.log4j:log4j-core,2.18.0,2.17.2,1,version_managed
org.apache.logging.log4j:log4j-core,2.18.0,2.17.1,1,version_managed
org.apache.logging.log4j:log4j-core,2.17.2,2.22.1,1,omitted_conflict
org.apache.logging.log4j:log4j-core,2.17.1,2.24.3,1,omitted_conflict
org.apache.logging.log4j:log4j-api,2.24.3,2.17.1,1,version_managed
org.apache.yetus:audience-annotations,0.13.0,0.12.0,1,version_managed
org.apache.poi:poi-ooxml,5.2.3,4.1.2,1,omitted_conflict
org.springframework:spring-jdbc,5.3.31,4.2.5.RELEASE,1,version_managed
org.apache.maven:maven-builder-support,3.9.9,3.9.8,1,version_managed
org.apache.poi:poi,5.4.1,5.3.0,1,version_managed
org.apache.poi:poi,5.2.3,4.1.2,1,omitted_conflict
org.apache.poi:poi-ooxml,5.4.1,5.3.0,1,version_managed
org.apache.shiro:shiro-core,1.11.0,1.3.2,1,omitted_conflict
org.apache.maven:maven-settings,3.9.9,3.9.8,1,version_managed
org.apache.maven:maven-repository-metadata,3.9.9,3.9.8,1,version_managed
org.apache.maven:maven-model-builder,3.9.9,3.9.8,1,version_managed
org.apache.maven:maven-model,3.9.9,3.9.8,1,version_managed
org.apache.maven:maven-model,3.9.9,2.2.1,1,omitted_conflict
org.apache.maven:maven-artifact,3.9.9,3.9.8,1,version_managed
org.apache.maven.resolver:maven-resolver-api,1.9.22,1.9.20,1,version_managed
org.apache.tomcat.embed:tomcat-embed-core,8.5.99,8.5.88,1,omitted_conflict
org.apache.tomcat:tomcat-annotations-api,10.1.25,10.1.40,1,omitted_conflict
org.apache.maven:maven-artifact,3.9.9,2.2.1,1,omitted_conflict
org.apache.logging.log4j:log4j-api,2.23.1,2.21.1,1,version_managed
org.apache.maven:maven-artifact,3.0.5,3.0,1,omitted_conflict
org.apache.maven.resolver:maven-resolver-util,1.9.22,1.9.20,1,version_managed
org.apache.maven.resolver:maven-resolver-spi,1.9.22,1.9.20,1,version_managed
org.springframework:spring-jdbc,6.2.6,6.2.5,1,version_managed
org.apache.maven.resolver:maven-resolver-impl,1.9.22,1.9.20,1,version_managed
org.slf4j:slf4j-api,2.0.7,1.7.36,1,version_managed
org.apache.logging.log4j:log4j-api,2.17.1,2.17.2,1,omitted_conflict
org.apache.logging.log4j:log4j-api,2.20.0,2.18.0,1,version_managed
org.apache.logging.log4j:log4j-api,2.18.0,2.17.1,1,version_managed
org.apache.httpcomponents:httpcore,4.4.15,4.4.16,1,omitted_conflict
org.springframework:spring-tx,6.1.11,6.1.9,1,version_managed
org.springframework:spring-tx,6.1.3,6.1.0,1,version_managed
org.apache.httpcomponents:httpcore,4.4.14,4.4.13,1,version_managed
org.apache.httpcomponents:httpcore,4.4.1,4.4.13,1,omitted_conflict
org.apache.httpcomponents:httpcore,4.2.4,4.4.4,1,omitted_conflict
org.apache.httpcomponents:httpclient,4.5.3,4.5.14,1,omitted_conflict
org.springframework:spring-tx,6.1.8,6.1.7,1,version_managed
org.apache.httpcomponents:httpclient,4.5.3,4.5.13,1,omitted_conflict
org.apache.httpcomponents:httpclient,4.5.14,4.5.5,1,omitted_conflict
org.springframework:spring-tx,6.2.5,6.1.17,1,version_managed
org.springframework:spring-tx,6.2.6,6.2.5,1,version_managed
org.apache.httpcomponents:httpclient,4.5.14,4.1.1,1,version_managed
org.springframework:spring-web,5.1.13.RELEASE,5.0.5.RELEASE,1,omitted_conflict
org.apache.httpcomponents:httpclient,4.5.13,4.5.5,1,omitted_conflict
org.apache.httpcomponents:httpclient,4.5.13,4.5.4,1,omitted_conflict
org.apache.httpcomponents:httpclient,4.5.13,4.5.3,1,version_managed
org.apache.httpcomponents:httpclient,4.5.13,4.5.14,1,omitted_conflict
org.apache.httpcomponents:httpclient,4.5.13,4.5.12,1,omitted_conflict
org.apache.httpcomponents:httpclient,4.4.1,4.5.12,1,omitted_conflict
org.apache.httpcomponents:httpclient,4.2.5,4.5.2,1,omitted_conflict
org.apache.httpcomponents:httpcore,4.4.16,4.4.1,1,version_managed
org.apache.httpcomponents:httpcore,4.4.16,4.4.12,1,version_managed
org.springframework:spring-tx,5.3.39,5.3.31,1,version_managed
org.apache.ibatis:ibatis-sqlmap,2.3.4.726,2.3.0,1,omitted_conflict
org.apache.logging.log4j:log4j-api,2.17.2,2.22.1,1,omitted_conflict
org.springframework:spring-oxm,6.1.11,6.1.9,1,version_managed
org.apache.logging.log4j:log4j-api,2.17.1,2.24.3,1,omitted_conflict
org.apiguardian:apiguardian-api,1.1.2,1.0.0,1,omitted_conflict
org.apache.logging.log4j:log4j-api,2.13.2,2.17.0,1,omitted_conflict
org.apache.logging.log4j:log4j-1.2-api,2.23.1,2.17.2,1,version_managed
org.springframework:spring-oxm,6.1.3,6.1.0,1,version_managed
org.apache.kafka:kafka-clients,3.8.1,7.9.1-ccs,1,version_managed
org.apache.kafka:kafka-clients,3.4.0,2.8.1,1,omitted_conflict
org.springframework:spring-oxm,6.1.8,6.1.7,1,version_managed
org.springframework:spring-test,5.3.39,5.3.31,1,version_managed
org.apache.httpcomponents:httpmime,4.5.14,4.5.13,1,version_managed
org.apache.httpcomponents:httpmime,4.5.13,4.5.3,1,version_managed
org.apache.httpcomponents:httpcore-nio,4.4.16,4.4.15,1,version_managed
org.apache.httpcomponents:httpcore-nio,4.4.16,4.4.13,1,version_managed
org.springframework:spring-r2dbc,5.3.39,5.3.31,1,version_managed
org.apache.httpcomponents:httpcore-nio,4.4.16,4.4.12,1,version_managed
org.apache.httpcomponents:httpcore,4.4.8,4.4.6,1,omitted_conflict
org.springframework:spring-test,5.1.13.RELEASE,5.0.5.RELEASE,1,omitted_conflict
org.springframework:spring-test,5.1.13.RELEASE,5.1.18.RELEASE,1,omitted_conflict
org.apache.zookeeper:zookeeper-jute,3.9.2,3.6.2,1,version_managed
org.assertj:assertj-core,3.25.3,3.24.2,1,omitted_conflict
org.apiguardian:apiguardian-api,1.1.2,1.1.0,1,omitted_conflict
org.eclipse.jetty:jetty-alpn-client,11.0.24,11.0.15,1,version_managed
org.eclipse.jetty:jetty-server,12.0.16,12.0.15,1,version_managed
org.eclipse.jetty:jetty-server,10.0.24,10.0.12,1,omitted_conflict
org.eclipse.jetty:jetty-io,9.4.56.v20240826,9.4.53.v20231009,1,version_managed
org.eclipse.jetty:jetty-io,12.0.18,9.4.50.v20221201,1,version_managed
org.eclipse.jetty:jetty-io,12.0.16,12.0.15,1,omitted_conflict
org.eclipse.jetty:jetty-io,11.0.25,11.0.24,1,omitted_conflict
org.eclipse.jetty:jetty-http,9.4.56.v20240826,9.4.53.v20231009,1,version_managed
org.eclipse.jetty:jetty-http,11.0.25,11.0.24,1,omitted_conflict
org.eclipse.jetty:jetty-client,9.4.56.v20240826,9.4.53.v20231009,1,version_managed
org.eclipse.jetty:jetty-client,12.0.18,9.4.50.v20221201,1,version_managed
org.easymock:easymock,4.2,4.0.1,1,omitted_conflict
org.eclipse.jetty:jetty-server,9.4.56.v20240826,9.4.53.v20231009,1,version_managed
org.cryptomator:webdav-nio-adapter-servlet,1.2.9,1.2.8,1,version_managed
org.conscrypt:conscrypt-openjdk-uber,2.5.1,2.5.2,1,omitted_conflict
org.codehaus.woodstox:stax2-api,4.2.2,4.2.1,1,version_managed
org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,omitted_conflict
org.codehaus.plexus:plexus-utils,3.5.1,4.0.1,1,version_managed
org.codehaus.plexus:plexus-utils,3.5.1,3.4.1,1,omitted_conflict
org.codehaus.plexus:plexus-utils,3.5.1,1.5.15,1,omitted_conflict
org.codehaus.plexus:plexus-utils,3.5.1,1.4.2,1,omitted_conflict
org.codehaus.plexus:plexus-utils,3.5.1,1.0.4,1,omitted_conflict
org.codehaus.plexus:plexus-utils,3.3.0,3.3.1,1,version_managed
org.eclipse.jetty:jetty-server,12.0.19,12.0.21,1,version_managed
org.eclipse.jetty:jetty-servlet,9.4.56.v20240826,9.4.53.v20231009,1,version_managed
org.springframework:spring-jdbc,4.3.20.RELEASE,2.0.8,1,omitted_conflict
org.glassfish.jaxb:jaxb-runtime,4.0.2,"[2.2,3",1,version_managed
org.glassfish.jersey.media:jersey-media-multipart,2.44,2.39.1,1,version_managed
org.glassfish.jersey.media:jersey-media-json-jackson,2.44,2.39.1,1,version_managed
org.glassfish.jersey.inject:jersey-hk2,2.44,2.39.1,1,version_managed
org.glassfish.jersey.core:jersey-common,2.35,2.23.2,1,version_managed
org.glassfish.jersey.core:jersey-client,2.44,2.39.1,1,version_managed
org.springframework:spring-core,6.2.3,6.2.4,1,version_managed
org.glassfish.jersey.connectors:jersey-apache-connector,2.44,2.39.1,1,version_managed
org.glassfish.jaxb:txw2,2.3.8,2.3.2,1,version_managed
org.glassfish.jaxb:txw2,2.3.8,2.3.1,1,version_managed
org.springframework:spring-core,6.2.5,6.1.17,1,version_managed
org.glassfish.jaxb:jaxb-runtime,4.0.2,3.0.2,1,version_managed
org.eclipse.jetty:jetty-util,11.0.25,11.0.24,1,omitted_conflict
org.springframework:spring-core,6.2.6,6.0.11,1,version_managed
org.springframework:spring-expression,5.1.13.RELEASE,5.1.18.RELEASE,1,omitted_conflict
org.freemarker:freemarker,2.3.34,2.3.33,1,version_managed
org.springframework:spring-expression,6.2.3,6.2.4,1,version_managed
org.eclipse.parsson:parsson,1.1.7,1.1.6,1,version_managed
org.eclipse.microprofile.config:microprofile-config-api,3.1,3.0.2,1,version_managed
org.eclipse.microprofile.config:microprofile-config-api,3.0.3,3.0.1,1,omitted_conflict
org.eclipse.jetty:jetty-util,9.4.56.v20240826,9.4.53.v20231009,1,version_managed
org.eclipse.jetty:jetty-util,12.0.18,9.4.50.v20221201,1,version_managed
org.eclipse.jetty:jetty-util,12.0.16,12.0.15,1,version_managed
org.codehaus.plexus:plexus-utils,2.0.6,2.1,1,omitted_conflict
org.codehaus.plexus:plexus-utils,2.0.6,1.5.5,1,omitted_conflict
org.codehaus.plexus:plexus-interpolation,1.26,1.27,1,version_managed
org.bouncycastle:bcprov-jdk18on,1.78.1,1.80,1,omitted_conflict
org.springframework:spring-jcl,6.2.6,6.2.5,1,version_managed
org.checkerframework:checker-qual,3.33.0,3.10.0,1,omitted_conflict
org.checkerframework:checker-qual,3.26.0,3.13.0,1,omitted_conflict
org.checkerframework:checker-qual,3.22.0,3.49.0,1,omitted_conflict
org.checkerframework:checker-qual,3.22.0,3.47.0,1,omitted_conflict
org.checkerframework:checker-qual,3.22.0,3.12.0,1,omitted_conflict
org.checkerframework:checker-qual,3.19.0,3.33.0,1,omitted_conflict
org.checkerframework:checker-qual,2.10.0,3.33.0,1,omitted_conflict
