library_name,version_selected,conflicting_version,project,conflict_type
org.hamcrest:hamcrest-core,2.2,1.3,15,version_managed
org.slf4j:slf4j-api,2.0.17,1.7.36,15,version_managed
com.fasterxml:classmate,1.7.0,1.5.1,10,version_managed
org.apache.httpcomponents:httpclient,4.5.14,4.5.13,7,omitted_conflict
net.bytebuddy:byte-buddy,1.15.11,1.14.18,7,version_managed
org.jboss.logging:jboss-logging,3.6.1.Final,3.4.3.Final,6,version_managed
org.slf4j:slf4j-api,2.0.13,1.7.36,6,version_managed
org.jetbrains.kotlin:kotlin-stdlib-common,1.9.25,1.9.10,6,version_managed
org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.25,1.8.21,6,version_managed
net.bytebuddy:byte-buddy-agent,1.15.11,1.15.4,6,version_managed
org.slf4j:slf4j-api,2.0.16,1.7.36,6,omitted_conflict
org.slf4j:slf4j-api,1.7.36,1.7.25,5,version_managed
org.apache.httpcomponents:httpcore,4.4.16,4.4.13,5,version_managed
commons-codec:commons-codec,1.15,1.11,5,version_managed
org.jboss.logging:jboss-logging,3.4.3.Final,3.4.1.Final,5,version_managed
net.bytebuddy:byte-buddy-agent,1.12.23,1.12.9,5,version_managed
net.bytebuddy:byte-buddy,1.12.23,1.12.9,5,version_managed
net.bytebuddy:byte-buddy,1.17.5,1.15.11,4,version_managed
com.google.code.findbugs:jsr305,3.0.2,3.0.1,4,omitted_conflict
org.jboss.logging:jboss-logging,3.4.3.Final,3.3.2.Final,4,omitted_conflict
org.slf4j:slf4j-api,2.0.17,2.0.11,4,version_managed
org.hamcrest:hamcrest,2.2,2.1,4,omitted_conflict
net.minidev:json-smart,2.4.11,2.4.7,4,version_managed
org.slf4j:slf4j-api,1.7.36,1.7.30,4,omitted_conflict
io.micrometer:micrometer-observation,1.14.6,1.14.5,4,version_managed
org.slf4j:slf4j-api,2.0.16,1.7.25,4,version_managed
org.reactivestreams:reactive-streams,1.0.4,1.0.3,4,version_managed
commons-codec:commons-codec,1.17.2,1.17.1,3,version_managed
