library_name,projects_affected,unique_selected_versions,unique_conflicting_versions,conflict_type_breakdown,avg_selected_depth,min_selected_depth,max_selected_depth,avg_conflicting_depth,min_conflicting_depth,max_conflicting_depth,total_conflicts
org.apache.commons:commons-math3,2,1,2,"{'omitted_conflict': 2, 'version_managed': 1}",2.67,2,3,2.67,2,3,3
org.apache.httpcomponents:httpasyncclient,2,1,2,{'version_managed': 3},2.67,2,3,2.67,2,3,3
org.springframework:spring-r2dbc,1,1,1,{'version_managed': 3},2.67,2,3,2.67,2,3,3
org.codehaus.groovy:groovy,1,1,1,{'version_managed': 3},2.0,2,2,2.0,2,2,3
org.springframework.cloud:spring-cloud-starter-loadbalancer,1,1,1,{'version_managed': 3},2.0,2,2,2.0,2,2,3
org.springframework.cloud:spring-cloud-starter,1,1,1,{'version_managed': 3},2.0,2,2,2.0,2,2,3
org.springframework.boot:spring-boot-starter-web,2,2,2,{'version_managed': 3},3.0,3,3,3.0,3,3,3
org.springframework.boot:spring-boot-starter-freemarker,2,2,2,{'version_managed': 3},3.0,3,3,3.0,3,3,3
org.springframework.boot:spring-boot-starter-actuator,2,2,2,{'version_managed': 3},3.0,3,3,3.0,3,3,3
org.codehaus.woodstox:stax2-api,1,1,1,{'version_managed': 3},2.33,2,3,2.33,2,3,3
org.eclipse.jetty:jetty-servlet,1,1,1,{'version_managed': 3},2.67,2,3,2.67,2,3,3
org.ehcache:ehcache,2,1,1,{'version_managed': 3},3.0,3,3,3.0,3,3,3
org.hdrhistogram:HdrHistogram,2,1,2,"{'version_managed': 2, 'omitted_conflict': 1}",1.67,1,2,2.0,2,2,3
org.freemarker:freemarker,1,1,1,{'version_managed': 3},2.0,2,2,2.0,2,2,3
javax.cache:cache-api,2,1,1,{'version_managed': 3},4.0,4,4,4.0,4,4,3
com.rabbitmq:amqp-client,2,2,2,{'version_managed': 3},4.33,3,5,4.33,3,5,3
commons-beanutils:commons-beanutils,2,1,1,{'omitted_conflict': 3},3.33,3,4,4.33,4,5,3
com.jayway.jsonpath:json-path,2,1,2,{'version_managed': 3},2.0,2,2,2.0,2,2,3
com.microsoft.azure:msal4j,3,2,1,{'omitted_conflict': 3},2.0,2,2,3.67,3,4,3
com.netflix.servo:servo-core,1,1,1,{'omitted_conflict': 3},3.67,3,4,4.67,4,5,3
io.vertx:vertx-uri-template,1,2,2,{'version_managed': 3},4.0,0,6,4.0,0,6,3
io.sundr:builder-annotations,1,1,1,{'version_managed': 3},2.0,2,2,2.0,2,2,3
io.smallrye.reactive:mutiny,1,2,2,{'version_managed': 3},0.0,0,0,0.0,0,0,3
io.projectreactor.addons:reactor-extra,1,1,1,{'version_managed': 3},4.0,4,4,4.0,4,4,3
com.google.api:api-common,1,1,3,{'omitted_conflict': 3},2.0,2,2,2.67,2,4,3
commons-lang:commons-lang,3,1,2,"{'omitted_conflict': 2, 'version_managed': 1}",2.0,2,2,4.0,2,7,3
io.grpc:grpc-api,2,2,3,"{'omitted_conflict': 2, 'version_managed': 1}",2.33,2,3,2.33,2,3,3
io.grpc:grpc-auth,1,1,3,{'omitted_conflict': 3},2.0,2,2,2.0,2,2,3
io.netty:netty-codec-haproxy,1,1,1,{'version_managed': 3},2.67,2,3,2.67,2,3,3
io.opencensus:opencensus-api,1,1,1,{'omitted_conflict': 3},1.0,1,1,2.0,2,2,3
io.netty:netty-codec-socks,2,2,2,{'version_managed': 3},2.33,2,3,2.33,2,3,3
com.google.api:gax-grpc,1,1,3,{'omitted_conflict': 3},2.0,2,2,2.67,2,4,3
io.netty:netty-transport-classes-epoll,2,2,2,{'version_managed': 3},2.67,2,3,2.67,2,3,3
com.fasterxml.jackson.dataformat:jackson-dataformat-smile,2,2,1,{'version_managed': 3},4.33,4,5,4.33,4,5,3
javax.servlet:servlet-api,1,1,2,{'omitted_conflict': 3},2.0,2,2,3.33,2,4,3
com.aayushatharva.brotli4j:brotli4j,1,1,1,{'version_managed': 3},0.0,0,0,0.0,0,0,3
com.github.docker-java:docker-java-api,1,1,1,{'version_managed': 3},2.0,2,2,2.0,2,2,3
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,1,1,1,{'version_managed': 3},2.0,2,2,2.0,2,2,3
jakarta.interceptor:jakarta.interceptor-api,1,2,2,{'omitted_conflict': 3},2.0,2,2,3.0,3,3,3
io.grpc:grpc-alts,1,1,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
com.fasterxml.jackson.dataformat:jackson-dataformat-csv,2,1,2,{'version_managed': 2},2.5,2,3,2.5,2,3,2
commons-pool:commons-pool,1,1,1,{'version_managed': 2},2.0,2,2,2.0,2,2,2
io.dropwizard.metrics:metrics-graphite,1,1,2,{'version_managed': 2},2.5,2,3,2.5,2,3,2
io.dropwizard.metrics:metrics-jmx,1,1,2,{'version_managed': 2},2.5,2,3,2.5,2,3,2
io.dropwizard.metrics:metrics-jvm,1,1,2,{'version_managed': 2},2.5,2,3,2.5,2,3,2
org.glassfish:jakarta.el,2,1,1,{'version_managed': 2},2.5,2,3,2.5,2,3,2
org.glassfish.jersey.media:jersey-media-multipart,1,1,1,{'version_managed': 2},2.0,2,2,2.0,2,2,2
org.glassfish.jersey.inject:jersey-hk2,1,1,1,{'version_managed': 2},2.0,2,2,2.0,2,2,2
io.github.openfeign:feign-slf4j,1,1,2,{'version_managed': 2},2.0,2,2,2.0,2,2,2
org.springframework.retry:spring-retry,2,2,2,{'version_managed': 2},4.0,4,4,4.0,4,4,2
org.glassfish.hk2:hk2-api,2,1,1,{'omitted_conflict': 2},3.0,2,4,4.0,3,5,2
commons-collections:commons-collections,2,2,2,{'omitted_conflict': 2},3.5,2,5,5.0,4,6,2
org.threeten:threetenbp,1,1,1,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
io.grpc:grpc-googleapis,1,1,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
io.grpc:grpc-grpclb,1,1,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
io.grpc:grpc-protobuf-lite,1,1,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
org.eclipse.jetty:jetty-http,2,2,2,"{'version_managed': 1, 'omitted_conflict': 1}",2.0,2,2,3.5,2,5,2
io.micrometer:context-propagation,2,2,2,{'version_managed': 2},3.0,2,4,3.0,2,4,2
io.micronaut:micronaut-context,1,1,1,{'omitted_conflict': 2},2.0,2,2,3.0,3,3,2
org.conscrypt:conscrypt-openjdk-uber,1,1,1,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
org.wildfly.client:wildfly-client-config,1,1,1,{'omitted_conflict': 2},4.0,4,4,4.0,4,4,2
org.springframework:spring-webmvc,2,2,2,"{'omitted_conflict': 1, 'version_managed': 1}",2.5,1,4,3.0,2,4,2
org.springframework:spring-messaging,2,2,1,{'version_managed': 2},4.0,4,4,4.0,4,4,2
com.fasterxml.jackson.dataformat:jackson-dataformat-toml,2,2,1,{'version_managed': 2},2.0,2,2,2.0,2,2,2
org.springframework.integration:spring-integration-jmx,1,1,1,{'version_managed': 2},2.0,2,2,2.0,2,2,2
org.springframework.integration:spring-integration-core,1,1,1,{'version_managed': 2},2.0,2,2,2.0,2,2,2
org.springframework.boot:spring-boot-starter-aop,1,1,1,{'version_managed': 2},2.0,2,2,2.0,2,2,2
com.google.api.grpc:proto-google-iam-v1,1,1,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
org.springframework.boot:spring-boot-actuator-autoconfigure,2,1,2,"{'version_managed': 1, 'omitted_conflict': 1}",2.0,2,2,2.0,2,2,2
com.google.api:gax,1,1,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
com.fasterxml.jackson.module:jackson-module-jsonSchema,2,2,1,{'version_managed': 2},4.0,4,4,4.0,4,4,2
