library_name,projects_affected,unique_selected_versions,unique_conflicting_versions,conflict_type_breakdown,avg_selected_depth,min_selected_depth,max_selected_depth,avg_conflicting_depth,min_conflicting_depth,max_conflicting_depth,total_conflicts
jakarta.transaction:jakarta.transaction-api,5,1,3,"{'version_managed': 5, 'omitted_conflict': 4}",2.67,2,7,3.33,2,7,9
io.smallrye.common:smallrye-common-annotation,1,3,4,{'version_managed': 9},1.78,0,4,1.78,0,4,9
io.smallrye.common:smallrye-common-expression,1,2,3,{'version_managed': 9},2.22,0,4,2.22,0,4,9
com.carrotsearch:hppc,2,1,2,{'version_managed': 9},3.0,2,4,3.0,2,4,9
io.smallrye.common:smallrye-common-classloader,1,2,2,{'version_managed': 9},3.33,0,5,3.33,0,5,9
com.fasterxml.jackson.module:jackson-module-parameter-names,4,3,4,{'version_managed': 9},2.89,2,3,2.89,2,3,9
io.projectreactor.addons:reactor-pool,2,1,1,{'version_managed': 9},2.89,2,3,2.89,2,3,9
org.jspecify:jspecify,2,2,2,{'omitted_conflict': 8},1.75,1,2,2.0,2,2,8
org.apache.httpcomponents.core5:httpcore5,5,4,3,"{'version_managed': 7, 'omitted_conflict': 1}",3.25,2,7,3.38,2,7,8
org.apiguardian:apiguardian-api,3,1,3,{'omitted_conflict': 8},2.75,2,4,1.5,0,3,8
io.micronaut:micronaut-runtime,1,2,4,{'omitted_conflict': 8},2.0,2,2,2.0,2,2,8
org.eclipse.jetty:jetty-io,4,4,4,"{'version_managed': 4, 'omitted_conflict': 4}",3.12,2,4,3.5,2,5,8
com.h2database:h2,2,2,1,{'version_managed': 8},2.0,2,2,2.0,2,2,8
org.apache.httpcomponents.client5:httpclient5,4,3,2,{'version_managed': 8},3.25,2,7,3.25,2,7,8
org.apache.commons:commons-configuration2,1,1,2,{'version_managed': 8},2.88,2,4,2.88,2,4,8
javax.xml.bind:jaxb-api,6,2,4,"{'version_managed': 5, 'omitted_conflict': 3}",2.5,1,3,2.75,2,3,8
org.springframework:spring-expression,3,3,2,"{'omitted_conflict': 4, 'version_managed': 4}",2.25,2,3,2.25,2,3,8
com.github.ben-manes.caffeine:caffeine,3,2,2,{'version_managed': 8},3.12,2,5,3.12,2,5,8
org.springframework:spring-oxm,4,4,4,{'version_managed': 7},2.43,2,3,2.43,2,3,7
javax.servlet:javax.servlet-api,4,2,2,{'version_managed': 7},2.57,2,4,2.57,2,4,7
io.micrometer:micrometer-commons,2,2,2,"{'version_managed': 6, 'omitted_conflict': 1}",2.14,0,3,2.29,0,3,7
org.springframework:spring-context-support,4,4,4,{'version_managed': 7},2.43,2,3,2.43,2,3,7
com.fasterxml.woodstox:woodstox-core,4,3,3,"{'version_managed': 4, 'omitted_conflict': 3}",3.14,2,4,3.29,2,5,7
org.apache.maven:maven-model,2,1,2,"{'version_managed': 4, 'omitted_conflict': 3}",4.14,3,5,4.14,3,5,7
jakarta.el:jakarta.el-api,1,2,2,"{'version_managed': 6, 'omitted_conflict': 1}",2.86,2,4,3.0,2,4,7
org.apache.maven:maven-artifact,3,2,3,"{'version_managed': 4, 'omitted_conflict': 3}",4.0,2,5,4.0,2,5,7
com.google.protobuf:protobuf-java-util,4,4,2,"{'omitted_conflict': 5, 'version_managed': 2}",1.86,1,4,2.29,2,4,7
com.sun.activation:jakarta.activation,2,1,2,"{'omitted_conflict': 6, 'version_managed': 1}",2.0,2,2,2.0,2,2,7
io.smallrye.common:smallrye-common-constraint,1,2,2,{'version_managed': 7},1.71,0,4,1.71,0,4,7
org.springframework:spring-webflux,4,4,4,"{'version_managed': 6, 'omitted_conflict': 1}",2.43,1,4,2.57,2,4,7
