project,num_submodules,total_dependencies,avg_dependencies_per_submodule,total_omitted_conflicts,total_version_managed_conflicts,avg_omitted_conflict_percentage,avg_version_managed_percentage,total_conflicts,avg_conflict_percentage
AzureAD__microsoft-authentication-library-for-java,8,439,54.88,8,0,2.42,0.0,8,2.42
BaseXdb__basex,4,112,28.0,0,0,0.0,0.0,0,0.0
BentoBoxWorld__BentoBox,1,143,143.0,45,0,31.47,0.0,45,31.47
BerserkerHercules__OfficeAutomatic-System,1,89,89.0,0,0,0.0,0.0,0,0.0
BroadleafCommerce__BroadleafCommerce,9,1558,173.11,1,26,0.04,1.72,1,0.04
CS-SI__Orekit,1,27,27.0,1,0,3.7,0.0,1,3.7
Captain-Chaos__WorldPainter,3,70,23.33,2,0,2.16,0.0,2,2.16
ChestShop-authors__ChestShop-3,7,153,21.86,11,0,5.86,0.0,11,5.86
CitizensDev__Citizens2,4,301,75.25,33,0,8.46,0.0,33,8.46
Cloudslab__cloudsim,2,69,34.5,0,0,0.0,0.0,0,0.0
CodePhiliaX__Chat2DB,27,712,26.37,9,64,0.35,4.03,9,0.35
CompPsyUnion__NottinghamWall,2,167,83.5,5,26,2.76,16.26,5,2.76
Cornutum__tcases,9,266,29.56,21,11,6.68,3.41,21,6.68
Cosium__git-code-format-maven-plugin,3,75,25.0,4,1,2.34,0.58,4,2.34
Cosium__spring-data-jpa-entity-graph,2,81,40.5,6,1,7.52,0.74,6,7.52
CycloneDX__cyclonedx-maven-plugin,4,79,19.75,12,0,3.9,0.0,12,3.9
DSpace__DSpace,12,4497,374.75,73,232,1.26,5.33,73,1.26
Deep-Symmetry__beat-link,1,12,12.0,1,0,8.33,0.0,1,8.33
DenizenScript__Denizen,8,330,41.25,33,0,6.64,0.0,33,6.64
DependencyTrack__dependency-track,1,335,335.0,42,1,12.54,0.3,42,12.54
DerekYRC__mini-spring,1,11,11.0,0,0,0.0,0.0,0,0.0
DominoKit__domino-ui,3,80,26.67,0,3,0.0,2.67,0,0.0
DozerMapper__dozer,3,150,50.0,1,13,0.57,8.9,1,0.57
DraqueT__PolyGlot,1,80,80.0,3,0,3.75,0.0,3,3.75
DropSnorz__OwlPlug,4,151,37.75,6,13,3.47,2.52,6,3.47
ESAPI__esapi-java-legacy,1,49,49.0,0,0,0.0,0.0,0,0.0
Ekryd__sortpom,2,45,22.5,2,0,3.7,0.0,2,3.7
Endava__cats,1,268,268.0,6,38,2.24,14.18,6,2.24
FasterXML__jackson-annotations,1,9,9.0,0,0,0.0,0.0,0,0.0
FasterXML__jackson-core,1,12,12.0,0,0,0.0,0.0,0,0.0
FasterXML__jackson-databind,1,39,39.0,0,2,0.0,5.13,0,0.0
FasterXML__jackson-dataformat-xml,1,22,22.0,0,0,0.0,0.0,0,0.0
FasterXML__jackson-dataformats-binary,5,75,15.0,1,0,0.83,0.0,1,0.83
FasterXML__jackson-dataformats-text,4,58,14.5,0,0,0.0,0.0,0,0.0
FasterXML__jackson-datatype-hibernate,5,190,38.0,13,0,6.43,0.0,13,6.43
FasterXML__jackson-jr,5,64,12.8,3,0,3.0,0.0,3,3.0
FasterXML__jackson-module-jsonSchema,2,14,7.0,0,0,0.0,0.0,0,0.0
FasterXML__jackson-modules-java8,3,41,13.67,1,0,1.96,0.0,1,1.96
FasterXML__woodstox,1,16,16.0,0,0,0.0,0.0,0,0.0
FraunhoferIOSB__FROST-Server,28,1273,45.46,29,7,2.21,1.03,29,2.21
FusionAuth__java-http,1,11,11.0,4,0,36.36,0.0,4,36.36
GIScience__openrouteservice,3,511,170.33,10,41,2.22,8.66,10,2.22
Geniusay__ChopperBot,11,2042,185.64,0,0,0.0,0.0,0,0.0
GeoWebCache__geowebcache,18,2686,149.22,19,68,0.65,2.43,19,0.65
GoogleCloudDataproc__hadoop-connectors,4,467,116.75,60,57,12.45,15.57,60,12.45
GoogleCloudPlatform__bank-of-anthos,4,674,168.5,16,117,2.37,17.37,16,2.37
GoogleCloudPlatform__cloud-bigtable-examples,4,419,104.75,116,0,26.9,0.0,116,26.9
GoogleCloudPlatform__getting-started-java,9,640,71.11,173,0,28.12,0.0,173,28.12
GoogleCloudPlatform__jit-groups,1,253,253.0,3,31,1.19,12.25,3,1.19
GoogleCloudPlatform__pubsub,6,414,69.0,54,1,9.47,0.11,54,9.47
GuannanDunkLi__SNS-Forum-Website,1,132,132.0,0,0,0.0,0.0,0,0.0
Hakky54__certificate-ripper,1,30,30.0,2,0,6.67,0.0,2,6.67
Hakky54__log-captor,1,25,25.0,2,1,8.0,4.0,2,8.0
Hakky54__mutual-tls-ssl,2,481,240.5,40,32,6.71,10.74,40,6.71
Hakky54__sslcontext-kickstart,6,177,29.5,4,9,1.92,5.06,4,1.92
HamaWhiteGG__flink-sql-lineage,2,20,10.0,0,0,0.0,0.0,0,0.0
HamaWhiteGG__langchain-java,7,454,64.86,21,17,3.22,3.92,21,3.22
HangarMC__Hangar,1,270,270.0,5,24,1.85,8.89,5,1.85
HimitZH__HOJ,3,517,172.33,39,73,5.11,15.91,39,5.11
HuobiRDCenter__huobi_Java,1,42,42.0,5,0,11.9,0.0,5,11.9
ICIJ__datashare,8,926,115.75,98,9,9.94,1.39,98,9.94
ICIJ__extract,2,378,189.0,38,0,9.78,0.0,38,9.78
IHTSDO__snowstorm,1,439,439.0,16,70,3.64,15.95,16,3.64
INRIA__spoon,6,151,25.17,14,0,5.23,0.0,14,5.23
IQSS__dataverse,4,719,179.75,74,25,7.31,2.24,74,7.31
IanDarwin__javasrc,14,642,45.86,39,0,4.6,0.0,39,4.6
JSQLParser__JSqlParser,1,25,25.0,0,0,0.0,0.0,0,0.0
JanusGraph__janusgraph,21,3459,164.71,1,379,0.02,10.3,1,0.02
Jarrettluo__all-docs,1,271,271.0,0,0,0.0,0.0,0,0.0
Jaspersoft__jasperreports,30,1048,34.93,50,0,4.2,0.0,50,4.2
JodaOrg__joda-time,1,3,3.0,0,0,0.0,0.0,0,0.0
JumpAlang__Jusic-Serve-Houses,1,106,106.0,0,0,0.0,0.0,0,0.0
JumpAlang__Jusic-serve,1,99,99.0,0,0,0.0,0.0,0,0.0
Kong__unirest-java,4,102,25.5,10,0,9.84,0.0,10,9.84
LOOHP__Limbo,1,33,33.0,2,0,6.06,0.0,2,6.06
LibrePDF__OpenPDF,6,111,18.5,3,0,1.52,0.0,3,1.52
Lihuanghe__SMSGate,1,64,64.0,0,0,0.0,0.0,0,0.0
LiuYuYang01__ThriveX-Server,2,301,150.5,11,40,2.88,15.53,11,2.88
LnYo-Cly__ai4j,2,237,118.5,20,0,8.45,0.0,20,8.45
LuckyPuppy514__jproxy,1,149,149.0,3,19,2.01,12.75,3,2.01
MDeLuise__plant-it,1,165,165.0,3,17,1.82,10.3,3,1.82
MarcGiffing__bucket4j-spring-boot-starter,12,1436,119.67,4,118,0.2,7.74,4,0.2
MariaDB4j__MariaDB4j,5,218,43.6,3,17,0.94,7.69,3,0.94
MobiVM__robovm,15,299,19.93,0,0,0.0,0.0,0,0.0
MountCloud__BehinderClientSource,1,20,20.0,2,0,10.0,0.0,2,10.0
Mr-xn__JNDIExploit-1,1,48,48.0,2,0,4.17,0.0,2,4.17
MrKinau__FishingBot,1,43,43.0,9,0,20.93,0.0,9,20.93
MrMicky-FR__FastBoard,1,13,13.0,1,0,7.69,0.0,1,7.69
Mrkuhuo__data-warehouse-learning,1,152,152.0,5,16,3.29,10.53,5,3.29
MyRobotLab__myrobotlab,1,581,581.0,81,0,13.94,0.0,81,13.94
NLPchina__elasticsearch-analysis-ansj,1,44,44.0,2,0,4.55,0.0,2,4.55
NLPchina__elasticsearch-sql,1,0,0.0,0,0,0.0,0.0,0,0.0
NationalSecurityAgency__emissary,1,122,122.0,0,6,0.0,4.92,0,0.0
NemProject__nem,4,181,45.25,23,0,11.1,0.0,23,11.1
Nepxion__DiscoveryGuide,4,507,126.75,11,66,2.13,12.99,11,2.13
