Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Direct_Dependency_Old_Version,Direct_Dependency_New_Version,Release_Type,Usage_Location,Usage_Line,Usage_Context,Usage_Type
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\SpecialtyDto.java,55,io.swagger.v3.oas.annotations.media.Schema.AccessMode,FieldAccessExpr
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\PetDto.java,156,io.swagger.v3.oas.annotations.media.Schema.AccessMode,FieldAccessExpr
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\ProblemDetailDto.java,117,io.swagger.v3.oas.annotations.media.Schema.AccessMode,FieldAccessExpr
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\ProblemDetailDto.java,185,io.swagger.v3.oas.annotations.media.Schema.RequiredMode,FieldAccessExpr
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\OwnerFieldsDto.java,83,io.swagger.v3.oas.annotations.media.Schema.RequiredMode,FieldAccessExpr
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\UserDto.java,130,io.swagger.v3.oas.annotations.media.Schema.RequiredMode,FieldAccessExpr
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\PetDto.java,74,io.swagger.v3.oas.annotations.media.Schema.RequiredMode,FieldAccessExpr
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\VisitDto.java,103,io.swagger.v3.oas.annotations.media.Schema.AccessMode,FieldAccessExpr
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\PetTypeFieldsDto.java,51,io.swagger.v3.oas.annotations.media.Schema.RequiredMode,FieldAccessExpr
io.swagger.core.v3:swagger-annotations-jakarta,2.2.22,2.2.36,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,true,2,org.springdoc:springdoc-openapi-starter-webmvc-ui,2.6.0,2.8.13,PATCH,C:\Users\tyin363\Documents\repos\spring-petclinic__spring-petclinic-rest\target\generated-sources\openapi\src\main\java\org\springframework\samples\petclinic\rest\dto\VetDto.java,65,io.swagger.v3.oas.annotations.media.Schema.RequiredMode,FieldAccessExpr
