Library_Name,Count,Percentage
com.baomidou:mybatis-plus-core,405,20.39274924471299
com.baomidou:mybatis-plus-extension,231,11.63141993957704
io.netty:netty-transport,196,9.86908358509567
io.grpc:grpc-core,154,7.754279959718026
org.elasticsearch:elasticsearch,144,7.250755287009064
org.elasticsearch:elasticsearch-x-content,143,7.2004028197381675
com.fasterxml.jackson.core:jackson-databind,108,5.438066465256798
io.vertx:vertx-core,54,2.719033232628399
io.swagger.core.v3:swagger-annotations-jakarta,51,2.56797583081571
cn.dev33:sa-token-core,49,2.4672708962739174
jakarta.enterprise:jakarta.enterprise.cdi-api,41,2.0644511581067473
com.baomidou:mybatis-plus-annotation,37,1.863041289023162
org.apache.avro:avro,30,1.5105740181268883
io.netty:netty-codec,28,1.4098690835850958
net.sourceforge.owlapi:owlapi-api,24,1.2084592145015105
org.slf4j:slf4j-api,23,1.1581067472306144
com.googlecode.soundlibs:tritonus-share,23,1.1581067472306144
org.apache.flink:flink-core,20,1.0070493454179255
com.fasterxml.jackson.core:jackson-annotations,20,1.0070493454179255
com.fasterxml.jackson.core:jackson-core,17,0.8559919436052367
org.eclipse.transformer:org.eclipse.transformer,17,0.8559919436052367
io.netty:netty-transport-classes-epoll,17,0.8559919436052367
org.apache.poi:poi,16,0.8056394763343404
io.jsonwebtoken:jjwt-api,11,0.5538771399798591
com.github.jsqlparser:jsqlparser,11,0.5538771399798591
net.sourceforge.owlapi:owlapi-distribution,11,0.5538771399798591
org.apache.maven:maven-core,10,0.5035246727089627
jakarta.persistence:jakarta.persistence-api,8,0.4028197381671702
com.google.guava:guava,7,0.35246727089627394
org.apache.hadoop:hadoop-common,7,0.35246727089627394
org.ow2.asm:asm,6,0.3021148036253776
org.apache.lucene:lucene-core,5,0.25176233635448136
io.greptime:ingester-protocol,5,0.25176233635448136
io.github.bes2008.solution.langx:langx-java,5,0.25176233635448136
org.jline:jline,4,0.2014098690835851
org.flowable:flowable-variable-service-api,4,0.2014098690835851
commons-io:commons-io,3,0.1510574018126888
com.aliyun:aliyun-java-sdk-core,2,0.10070493454179255
org.apache.jena:jena-core,2,0.10070493454179255
com.baomidou:mybatis-plus-spring-boot-autoconfigure,2,0.10070493454179255
de.codecentric:spring-boot-admin-server,2,0.10070493454179255
org.noear:solon,2,0.10070493454179255
org.mybatis:mybatis,2,0.10070493454179255
us.fatehi:schemacrawler-api,2,0.10070493454179255
io.opentracing:opentracing-api,2,0.10070493454179255
org.apache.maven:maven-project,2,0.10070493454179255
org.bytedeco:tesseract,2,0.10070493454179255
org.keycloak:keycloak-admin-client,2,0.10070493454179255
org.bouncycastle:bcprov-jdk18on,2,0.10070493454179255
org.awaitility:awaitility,2,0.10070493454179255
org.apache.spark:spark-catalyst_2.10,1,0.050352467270896276
org.dromara.warm:warm-flow-core,1,0.050352467270896276
io.netty:netty-common,1,0.050352467270896276
com.baomidou:mybatis-plus-spring,1,0.050352467270896276
org.elasticsearch.client:elasticsearch-rest-client,1,0.050352467270896276
jakarta.inject:jakarta.inject-api,1,0.050352467270896276
io.gatling:gatling-core-java,1,0.050352467270896276
org.springframework.amqp:spring-amqp,1,0.050352467270896276
org.bytedeco:opencv,1,0.050352467270896276
org.apache.dubbo:dubbo-rpc-api,1,0.050352467270896276
com.vladsch.flexmark:flexmark-util-sequence,1,0.050352467270896276
com.google.flogger:flogger,1,0.050352467270896276
org.apache.jena:jena-arq,1,0.050352467270896276
io.netty:netty-codec-http2,1,0.050352467270896276
org.springframework.cloud:spring-cloud-commons,1,0.050352467270896276
