Library_Name,Count,Percentage
org.apache.maven:maven-xml-impl,930,0.061677222535398084
com.mchange:c3p0,930,0.061677222535398084
io.gatling:gatling-recorder-bc-shaded,922,0.06114666578240541
com.baomidou:mybatis-plus-spring-boot-autoconfigure,892,0.05915707795868289
org.apache.camel:camel-support,873,0.05789700567032529
org.codehaus.janino:commons-compiler,870,0.05769804688795304
io.netty:netty-buffer,838,0.055575819875982355
com.aliyun:aliyun-java-sdk-core,834,0.05531054149948602
com.alibaba.cloud:spring-cloud-circuitbreaker-sentinel,814,0.05398414961700434
com.amazonaws:aws-java-sdk-core,813,0.05391783002288026
org.junit.platform:junit-platform-launcher,799,0.052989355705143085
org.apache.kafka:kafka-streams,792,0.0525251185462745
org.jetbrains.kotlin:kotlin-stdlib-jdk8,770,0.05106608747554465
org.springframework.cloud:spring-cloud-loadbalancer,758,0.050270252346055644
org.apache.curator:curator-framework,744,0.04934177802831846
org.jline:jline,734,0.04867858208707763
org.apache.spark:spark-catalyst_2.12,712,0.047219551016347776
io.quarkus:quarkus-vertx-http-deployment,693,0.04595947872799018
com.openhtmltopdf:openhtmltopdf-core,680,0.04509732400437709
com.googlecode.soundlibs:tritonus-share,679,0.04503100441025301
org.infinispan:infinispan-objectfilter,675,0.04476572603375667
io.gatling:gatling-charts,675,0.04476572603375667
io.netty:netty-codec-socks,672,0.04456676725138442
org.infinispan:infinispan-client-hotrod,669,0.04436780846901217
commons-io:commons-io,665,0.04410253009251583
org.ow2.asm:asm,653,0.043306694963026825
io.jsonwebtoken:jjwt-api,652,0.04324037536890274
io.quarkus:quarkus-tls-registry,647,0.042908777398282326
org.apache.camel:camel-management-api,633,0.041980303080545144
io.netty:netty-resolver,630,0.041781344298172894
software.amazon.awssdk:s3,626,0.04151606592167656
org.springframework.cloud:spring-cloud-gateway-server,626,0.04151606592167656
io.reactivex.rxjava3:rxjava,615,0.04078655038631163
io.github.reajason:memshell,614,0.04072023079218755
org.bytedeco:tesseract,607,0.040255993633318964
org.apache.flink:flink-java,600,0.03979175647445038
com.alibaba.fastjson2:fastjson2,589,0.03906224093908545
org.apache.camel:camel-base,588,0.03899592134496137
org.eclipse.transformer:org.eclipse.transformer,587,0.03892960175083729
io.smallrye.config:smallrye-config-core,572,0.03793480783897602
net.sourceforge.owlapi:owlapi-parsers,561,0.0372052923036111
com.alibaba.csp:sentinel-transport-common,550,0.036475776768246176
io.swagger.core.v3:swagger-annotations-jakarta,550,0.036475776768246176
com.typesafe.akka:akka-actor_2.12,541,0.03587890042112942
org.apache.hadoop:hadoop-common,541,0.03587890042112942
io.swagger.core.v3:swagger-annotations,533,0.03534834366813675
software.amazon.awssdk:rds,528,0.03501674569751633
com.typesafe.akka:akka-http_2.12,516,0.03422091056802733
com.fasterxml.jackson.module:jackson-module-kotlin,511,0.033889312597406906
software.amazon.awssdk:ssm,505,0.0334913950326624
org.awaitility:awaitility,504,0.033425075438538315
com.google.protobuf:protobuf-java-util,489,0.032430281526677054
