Module,Has_Used_Breaking_Changes,Count
confluentinc__ksql_ksqldb-parser,Yes,1
confluentinc__ksql_ksqldb-rest-client,Yes,53
confluentinc__ksql_ksqldb-rocksdb-config-setter,Yes,1
confluentinc__ksql_ksqldb-serde,Yes,1
confluentinc__ksql_ksqldb-tools,Yes,1
cosen1024__community_cosen1024__community,Yes,10
Cosium__spring-data-jpa-entity-graph_core,Yes,1
cucumber__cucumber-jvm_cucumber-cdi2,Yes,36
cucumber__cucumber-jvm_cucumber-deltaspike,Yes,6
CyrilFeng__karma_CyrilFeng__karma,Yes,11
databricks__learning-spark_databricks__learning-spark,Yes,12
dibo-software__diboot_diboot-core-starter,Yes,1
digitalpetri__modbus_modbus-tcp,Yes,26
doubleDimple__oci-start_oci-server,Yes,32
dromara__forest_forest-solon-plugin,Yes,12
dromara__Jpom_agent,Yes,1
dromara__Jpom_common,Yes,14
dromara__mica-mqtt_mica-mqtt-client,Yes,32
dromara__mica-mqtt_mica-mqtt-client-jfinal-plugin,Yes,28
dromara__mica-mqtt_mica-mqtt-client-solon-plugin,Yes,19
dromara__mica-mqtt_mica-mqtt-client-spring-boot-starter,Yes,20
dromara__mica-mqtt_mica-mqtt-example,Yes,17
dromara__mica-mqtt_mica-mqtt-server,Yes,33
dromara__mica-mqtt_mica-mqtt-server-solon-plugin,Yes,10
dromara__mica-mqtt_mica-mqtt-server-spring-boot-starter,Yes,9
dromara__orion-visor_orion-visor-spring-boot-starter-mybatis,Yes,14
dromara__RuoYi-Vue-Plus_ruoyi-common-encrypt,Yes,1
dromara__RuoYi-Vue-Plus_ruoyi-common-excel,Yes,2
dromara__RuoYi-Vue-Plus_ruoyi-common-mybatis,Yes,2
dromara__RuoYi-Vue-Plus_ruoyi-common-redis,Yes,1
dromara__RuoYi-Vue-Plus_ruoyi-monitor-admin,Yes,2
dromara__RuoYi-Vue-Plus_ruoyi-workflow,Yes,1
dromara__warm-flow_warm-flow-mybatis-plus-core,Yes,4
dromara__warm-flow_warm-flow-mybatis-plus-solon-plugin,Yes,1
dromara__warm-flow_warm-flow-mybatis-solon-plugin,Yes,1
dromara__warm-flow_warm-flow-plugin-json,Yes,7
dromara__warm-flow_warm-flow-plugin-modes-solon,Yes,1
dromara__warm-flow_warm-flow-plugin-ui-solon-web,Yes,3
ebourg__jsign_jsign-crypto,Yes,5
eclipse-californium__californium_californium-proxy2,Yes,1
eclipse-californium__californium_element-connector-tcp-netty,Yes,7
eclipse-milo__milo_transport-https,Yes,2
eclipse-milo__milo_transport-websocket,Yes,4
elunez__eladmin_eladmin-common,Yes,5
elunez__eladmin_eladmin-logging,Yes,1
erupts__erupt_erupt-excel,Yes,2
eyesmoons__lacus_lacus-admin,Yes,1
eyesmoons__lacus_lacus-common,Yes,32
eyesmoons__lacus_lacus-core,Yes,8
eyesmoons__lacus_lacus-dao,Yes,3
eyesmoons__lacus_lacus-datasource-plugin,Yes,2
eyesmoons__lacus_lacus-domain,Yes,71
eyesmoons__lacus_lacus-flink-sql-app,Yes,5
eyesmoons__lacus_lacus-one-api-app,Yes,7
eyesmoons__lacus_lacus-rtc-engine,Yes,22
eyesmoons__lacus_lacus-service,Yes,124
FasterXML__jackson-dataformats-binary_avro,Yes,40
fayechenlong__plumelog_plumelog-client-core,Yes,2
fayechenlong__plumelog_plumelog-client-log4j-kafka,Yes,2
fayechenlong__plumelog_plumelog-client-log4j-redis,Yes,2
fayechenlong__plumelog_plumelog-core,Yes,72
fayechenlong__plumelog_plumelog-dubbo,Yes,1
fizzed__rocker_rocker-compiler,Yes,1
fizzed__rocker_rocker-maven-plugin,Yes,1
fizzgate__fizz-gateway-node_fizz-common,Yes,6
fizzgate__fizz-gateway-node_fizz-plugin,Yes,3
freeok__so-novel_freeok__so-novel,Yes,10
GIScience__openrouteservice_ors-benchmark,Yes,2
google__adk-java_langchain4j,Yes,1
googleads__googleads-java-lib_ads_lib,Yes,1
GoogleCloudDataproc__hadoop-connectors_util,Yes,1
GoogleCloudPlatform__pubsub_kafka-connector,Yes,3
GoogleCloudPlatform__pubsub_load-test-framework,Yes,21
graphhopper__graphhopper_web-api,Yes,1
