Module,Has_Used_Breaking_Changes,Count
apache__incubator-kie-optaplanner_optaplanner-persistence-jaxb,No,0
apache__incubator-kie-optaplanner_optaplanner-persistence-jpa,No,0
apache__incubator-kie-optaplanner_optaplanner-persistence-jsonb,No,0
apache__incubator-kie-optaplanner_optaplanner-persistence-xstream,No,0
apache__incubator-kie-optaplanner_optaplanner-spring-boot-autoconfigure,No,0
apache__incubator-kie-optaplanner_optaplanner-test,No,0
apache__incubator-kie-optaplanner_reflection-integration-test,No,0
apache__incubator-kie-optaplanner_runtime,No,0
apache__jackrabbit_base,No,0
apache__jackrabbit_jackrabbit-aws-ext,No,0
apache__jackrabbit_jackrabbit-data,No,0
apache__jackrabbit_jackrabbit-jca,No,0
apache__jackrabbit_jackrabbit-jcr-client,No,0
apache__jackrabbit_jackrabbit-jcr-servlet,No,0
apache__jackrabbit_jackrabbit-jcr2dav,No,0
apache__jackrabbit_jackrabbit-spi,No,0
apache__jackrabbit_jackrabbit-spi2dav,No,0
apache__jackrabbit_jackrabbit-spi2jcr,No,0
apache__jackrabbit_jackrabbit-standalone-components,No,0
apache__jackrabbit_jackrabbit-vfs-ext,No,0
apache__jackrabbit_jackrabbit-webapp,No,0
apache__mina-sshd_sshd-benchmarks,No,0
apache__mina-sshd_sshd-cli,No,0
apache__mina-sshd_sshd-contrib,No,0
apache__mina-sshd_sshd-git,No,0
apache__mina-sshd_sshd-ldap,No,0
apache__mina-sshd_sshd-mina,No,0
apache__mina-sshd_sshd-netty,No,0
apache__mina-sshd_sshd-openpgp,No,0
apache__mina-sshd_sshd-putty,No,0
apache__mina-sshd_sshd-scp,No,0
apache__mina-sshd_sshd-spring-sftp,No,0
apache__openmeetings_openmeetings-install,No,0
apache__openmeetings_openmeetings-mediaserver,No,0
apache__openmeetings_openmeetings-screenshare,No,0
apache__openmeetings_openmeetings-tests,No,0
apache__openmeetings_openmeetings-util,No,0
apache__openmeetings_openmeetings-webservice,No,0
apache__opennlp_opennlp-api,No,0
apache__opennlp_opennlp-cli,No,0
apache__opennlp_opennlp-dl,No,0
apache__opennlp_opennlp-ml-bayes,No,0
apache__opennlp_opennlp-ml-commons,No,0
apache__opennlp_opennlp-ml-maxent,No,0
apache__opennlp_opennlp-ml-perceptron,No,0
apache__opennlp_opennlp-models,No,0
apache__opennlp_opennlp-morfologik,No,0
apache__opennlp_opennlp-tools,No,0
apache__opennlp_opennlp-uima,No,0
apache__pdfbox_benchmark,No,0
apache__pdfbox_io,No,0
apache__pdfbox_tools,No,0
apache__ratis_ratis-client,No,0
apache__ratis_ratis-examples,No,0
apache__ratis_ratis-experiments,No,0
apache__ratis_ratis-grpc,No,0
apache__ratis_ratis-metrics-api,No,0
apache__ratis_ratis-metrics-default,No,0
apache__ratis_ratis-metrics-dropwizard3,No,0
apache__ratis_ratis-netty,No,0
apache__ratis_ratis-server-api,No,0
apache__ratis_ratis-shell,No,0
apache__ratis_ratis-tools,No,0
apache__shardingsphere-elasticjob_api,No,0
apache__shardingsphere-elasticjob_boot-starter,No,0
apache__shardingsphere-elasticjob_bootstrap,No,0
apache__shardingsphere-elasticjob_core,No,0
apache__shardingsphere-elasticjob_dataflow,No,0
apache__shardingsphere-elasticjob_dingtalk,No,0
apache__shardingsphere-elasticjob_elasticjob-example-embed-zk,No,0
apache__shardingsphere-elasticjob_elasticjob-example-java,No,0
apache__shardingsphere-elasticjob_elasticjob-example-jobs,No,0
apache__shardingsphere-elasticjob_elasticjob-example-spring,No,0
apache__shardingsphere-elasticjob_elasticjob-example-springboot,No,0
apache__shardingsphere-elasticjob_email,No,0
apache__shardingsphere-elasticjob_http,No,0
apache__shardingsphere-elasticjob_kernel,No,0
apache__shardingsphere-elasticjob_lifecycle,No,0
apache__shardingsphere-elasticjob_namespace,No,0
apache__shardingsphere-elasticjob_normal,No,0
apache__shardingsphere-elasticjob_rdb,No,0
apache__shardingsphere-elasticjob_script,No,0
apache__shardingsphere-elasticjob_simple,No,0
apache__shardingsphere-elasticjob_util,No,0
apache__shardingsphere-elasticjob_wechat,No,0
apache__shardingsphere-elasticjob_zookeeper-curator,No,0
apache__stormcrawler_ai,No,0
apache__stormcrawler_aws,No,0
apache__stormcrawler_langid,No,0
apache__stormcrawler_opensearch,No,0
apache__stormcrawler_playwright,No,0
apache__stormcrawler_solr,No,0
apache__stormcrawler_sql,No,0
apache__stormcrawler_tika,No,0
apache__stormcrawler_urlfrontier,No,0
apache__stormcrawler_warc,No,0
apache__xmlgraphics-batik_batik-codec,No,0
apache__xmlgraphics-batik_batik-constants,No,0
apache__xmlgraphics-batik_batik-ext,No,0
apache__xmlgraphics-batik_batik-extension,No,0
apache__xmlgraphics-batik_batik-gui-util,No,0
apache__xmlgraphics-batik_batik-i18n,No,0
apache__xmlgraphics-batik_batik-parser,No,0
apache__xmlgraphics-batik_batik-script,No,0
apache__xmlgraphics-batik_batik-slideshow,No,0
apache__xmlgraphics-batik_batik-svg-dom,No,0
apache__xmlgraphics-batik_batik-svgpp,No,0
apache__xmlgraphics-batik_batik-svgrasterizer,No,0
apache__xmlgraphics-batik_batik-swing,No,0
apache__xmlgraphics-batik_batik-test,No,0
apache__xmlgraphics-batik_batik-test-svg,No,0
apache__xmlgraphics-batik_batik-test-swing,No,0
apache__xmlgraphics-batik_batik-transcoder,No,0
apache__xmlgraphics-batik_batik-ttf2svg,No,0
apache__xmlgraphics-batik_batik-util,No,0
apache__xmlgraphics-batik_batik-xml,No,0
apereo__java-cas-client_cas-client-core,No,0
apereo__java-cas-client_cas-client-support-distributed-ehcache,No,0
apereo__java-cas-client_cas-client-support-distributed-memcached,No,0
apereo__java-cas-client_cas-client-support-saml,No,0
apereo__java-cas-client_cas-client-support-springboot,No,0
apolloconfig__apollo_apollo-adminservice,No,0
apolloconfig__apollo_apollo-assembly,No,0
apolloconfig__apollo_apollo-audit-annotation,No,0
apolloconfig__apollo_apollo-audit-api,No,0
apolloconfig__apollo_apollo-audit-impl,No,0
apolloconfig__apollo_apollo-audit-spring-boot-starter,No,0
apolloconfig__apollo_apollo-biz,No,0
apolloconfig__apollo_apollo-build-sql-converter,No,0
apolloconfig__apollo_apollo-common,No,0
apolloconfig__apollo_apollo-configservice,No,0
approvals__ApprovalTests.Java_approvaltests,No,0
approvals__ApprovalTests.Java_approvaltests-tests,No,0
approvals__ApprovalTests.Java_counter_display,No,0
approvals__ApprovalTests.Java_html_locker,No,0
arquillian__arquillian-core_api,No,0
arquillian__arquillian-core_cdi,No,0
arquillian__arquillian-core_common,No,0
arquillian__arquillian-core_core,No,0
arquillian__arquillian-core_ejb,No,0
arquillian__arquillian-core_impl-base,No,0
arquillian__arquillian-core_initialcontext,No,0
arquillian__arquillian-core_jmx,No,0
arquillian__arquillian-core_resource,No,0
arquillian__arquillian-core_servlet,No,0
arquillian__arquillian-core_spi,No,0
arquillian__arquillian-core_standalone,No,0
arquillian__arquillian-core_test-api,No,0
arquillian__arquillian-core_test-impl-base,No,0
arquillian__arquillian-core_test-spi,No,0
arturmkrtchyan__iban4j_arturmkrtchyan__iban4j,No,0
asciidoctor__asciidoctor-maven-plugin_asciidoctor-converter-doxia-module,No,0
asciidoctor__asciidoctor-maven-plugin_asciidoctor-maven-commons,No,0
asciidoctor__asciidoctor-maven-plugin_asciidoctor-maven-plugin,No,0
asciidoctor__asciidoctor-maven-plugin_asciidoctor-parser-doxia-module,No,0
asciidoctor__asciidoctor-maven-plugin_log-handler,No,0
Athou__commafeed_commafeed-server,No,0
atjiu__pybbs_comment-layer-plugin,No,0
atjiu__pybbs_redis-cache-plugin,No,0
aws__serverless-java-container_alt-pet-store,No,0
aws__serverless-java-container_aws-serverless-java-container-core,No,0
aws__serverless-java-container_aws-serverless-java-container-jersey,No,0
aws__serverless-java-container_aws-serverless-java-container-spring,No,0
aws__serverless-java-container_aws-serverless-java-container-springboot3,No,0
aws__serverless-java-container_graphql-pet-store,No,0
aws__serverless-java-container_jersey-archetype-test,No,0
aws__serverless-java-container_pet-store,No,0
aws__serverless-java-container_pet-store-native,No,0
aws__serverless-java-container_spring-archetype-test,No,0
aws__serverless-java-container_springboot-archetype-test,No,0
awspring__spring-cloud-aws_spring-cloud-aws-autoconfigure,No,0
awspring__spring-cloud-aws_spring-cloud-aws-core,No,0
awspring__spring-cloud-aws_spring-cloud-aws-docker-compose,No,0
awspring__spring-cloud-aws_spring-cloud-aws-dynamodb,No,0
baomidou__lock4j_lock4j-core,No,0
baomidou__lock4j_lock4j-redis-template-spring-boot-starter,No,0
baomidou__lock4j_lock4j-redisson-spring-boot-starter,No,0
baomidou__lock4j_lock4j-test,No,0
baomidou__lock4j_lock4j-zookeeper-spring-boot-starter,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-active-record,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-assembly,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-association,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-auto-fill-metainfo,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-crud,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-ddl-mysql,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-deluxe,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-dynamic-tablename,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-enum,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-execution-analysis,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-id-generator,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-id-string,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-jsonb,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-logic-delete,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-mysql,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-no-spring,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-optimistic-locker,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-pagehelper,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-pagination,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-performance-analysis,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-quickstart,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-quickstart-springmvc,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-resultmap,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-sequence,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-sql-injector,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-tenant,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-typehandler,No,0
baomidou__mybatis-plus-samples_mybatis-plus-sample-wrapper,No,0
baomidou__mybatis-plus-samples_mybatis-plus-startup-analysis,No,0
BaseXdb__basex_basex-api,No,0
BaseXdb__basex_basex-examples,No,0
BaseXdb__basex_basex-tests,No,0
bastillion-io__Bastillion_bastillion-io__Bastillion,No,0
bes2008__sqlhelper_sqlhelper-batchinsert,No,0
bes2008__sqlhelper_sqlhelper-common,No,0
bes2008__sqlhelper_sqlhelper-datasource-flyway,No,0
bes2008__sqlhelper_sqlhelper-dbutils,No,0
bes2008__sqlhelper_sqlhelper-mybatis-over-pagehelper,No,0
bes2008__sqlhelper_sqlhelper-mybatis-spring-boot-starter,No,0
bes2008__sqlhelper_sqlhelper-mybatisplus-commons,No,0
bes2008__sqlhelper_sqlhelper-mybatisplus_2x,No,0
bes2008__sqlhelper_sqlhelper-mybatisplus_2x-spring-boot-starter,No,0
bes2008__sqlhelper_sqlhelper-springjdbc,No,0
bes2008__sqlhelper_sqlhelper-springjdbc-spring-boot-starter,No,0
bes2008__sqlhelper_sqlhelper-tkmapper-spring-boot-starter,No,0
binarywang__java-emoji-converter_binarywang__java-emoji-converter,No,0
binarywang__java-testdata-generator_binarywang__java-testdata-generator,No,0
binarywang__weixin-java-miniapp-demo_binarywang__weixin-java-miniapp-demo,No,0
binarywang__WxJava_weixin-graal,No,0
binarywang__WxJava_weixin-java-qidian,No,0
binarywang__WxJava_wx-java-pay-solon-plugin,No,0
binarywang__WxJava_wx-java-pay-spring-boot-starter,No,0
binarywang__WxJava_wx-java-qidian-solon-plugin,No,0
binarywang__WxJava_wx-java-qidian-spring-boot-starter,No,0
biojava__biojava_biojava-aa-prop,No,0
biojava__biojava_biojava-alignment,No,0
biojava__biojava_biojava-genome,No,0
biojava__biojava_biojava-modfinder,No,0
biojava__biojava_biojava-ontology,No,0
biojava__biojava_biojava-protein-comparison-tool,No,0
biojava__biojava_biojava-protein-disorder,No,0
biojava__biojava_biojava-survival,No,0
biojava__biojava_biojava-ws,No,0
bonigarcia__mastering-junit5_junit4-cucumber,No,0
bonigarcia__mastering-junit5_junit4-mockito,No,0
bonigarcia__mastering-junit5_junit4-spring,No,0
bonigarcia__mastering-junit5_junit4-spring-boot,No,0
bonigarcia__mastering-junit5_junit5-assertions,No,0
bonigarcia__mastering-junit5_junit5-basic-tests,No,0
bonigarcia__mastering-junit5_junit5-console-launcher,No,0
bonigarcia__mastering-junit5_junit5-cucumber,No,0
bonigarcia__mastering-junit5_junit5-disabled-tests,No,0
bonigarcia__mastering-junit5_junit5-engine-spi,No,0
bonigarcia__mastering-junit5_junit5-extension-model-automatic,No,0
bonigarcia__mastering-junit5_junit5-meta-annotations,No,0
bonigarcia__mastering-junit5_junit5-mockito,No,0
bonigarcia__mastering-junit5_junit5-spring,No,0
bonigarcia__mastering-junit5_junit5-spring-boot,No,0
bonigarcia__mastering-junit5_junit5-spring-boot-rest,No,0
bonigarcia__mastering-junit5_junit5-spring-boot-web,No,0
bonigarcia__mastering-junit5_junit5-test-interfaces,No,0
bonigarcia__mastering-junit5_junit5-wiremock,No,0
bonigarcia__selenium-jupiter_bonigarcia__selenium-jupiter,No,0
bonigarcia__webdrivermanager_bonigarcia__webdrivermanager,No,0
brndnmtthws__facebook-hive-udfs_brndnmtthws__facebook-hive-udfs,No,0
BroadleafCommerce__BroadleafCommerce_broadleaf-admin-module,No,0
BroadleafCommerce__BroadleafCommerce_broadleaf-profile,No,0
BroadleafCommerce__BroadleafCommerce_integration,No,0
bsommerfeld__pathetic_api,No,0
bsommerfeld__pathetic_engine,No,0
bucket4j__bucket4j_bucket4j-caffeine,No,0
bucket4j__bucket4j_bucket4j-coherence,No,0
bucket4j__bucket4j_bucket4j-db2,No,0
bucket4j__bucket4j_bucket4j-hazelcast,No,0
bucket4j__bucket4j_bucket4j-hazelcast-4,No,0
bucket4j__bucket4j_bucket4j-ignite,No,0
bucket4j__bucket4j_bucket4j-infinispan,No,0
bucket4j__bucket4j_bucket4j-jcache,No,0
bucket4j__bucket4j_bucket4j-jedis,No,0
bucket4j__bucket4j_bucket4j-lettuce,No,0
bucket4j__bucket4j_bucket4j-mariadb,No,0
bucket4j__bucket4j_bucket4j-mssql,No,0
bucket4j__bucket4j_bucket4j-mysql,No,0
bucket4j__bucket4j_bucket4j-oracle,No,0
bucket4j__bucket4j_bucket4j-postgresql,No,0
bucket4j__bucket4j_bucket4j-redis-common,No,0
bucket4j__bucket4j_bucket4j-redisson,No,0
bucket4j__bucket4j_common,No,0
bucket4j__bucket4j_current,No,0
bucket4j__bucket4j_previous,No,0
bytedeco__javacpp_osgi,No,0
casid__jte_jte,No,0
casid__jte_jte-benchmark,No,0
casid__jte_jte-extension-api,No,0
casid__jte_jte-extension-api-mocks,No,0
casid__jte_jte-hotreload-test,No,0
casid__jte_jte-jsp-converter,No,0
casid__jte_jte-jsp-converter-jakarta,No,0
casid__jte_jte-kotlin,No,0
casid__jte_jte-maven-plugin,No,0
casid__jte_jte-models,No,0
casid__jte_jte-native-resources,No,0
casid__jte_jte-runtime,No,0
casid__jte_jte-runtime-cp-test,No,0
casid__jte_jte-runtime-cp-test-models,No,0
casid__jte_jte-runtime-test,No,0
casid__jte_jte-runtime-test-kotlin,No,0
casid__jte_jte-spring-boot-starter-2,No,0
casid__jte_jte-spring-boot-starter-3,No,0
centic9__jgit-cookbook_centic9__jgit-cookbook,No,0
chillzhuang__blade-tool_blade-core-boot,No,0
chillzhuang__blade-tool_blade-core-cloud,No,0
chillzhuang__blade-tool_blade-core-launch,No,0
chillzhuang__blade-tool_blade-core-secure,No,0
chillzhuang__blade-tool_blade-core-test,No,0
chillzhuang__blade-tool_blade-starter-api-crypto,No,0
chillzhuang__blade-tool_blade-starter-cache,No,0
chillzhuang__blade-tool_blade-starter-datascope,No,0
chillzhuang__blade-tool_blade-starter-develop,No,0
chillzhuang__blade-tool_blade-starter-excel,No,0
chillzhuang__blade-tool_blade-starter-loadbalancer,No,0
chillzhuang__blade-tool_blade-starter-log,No,0
chillzhuang__blade-tool_blade-starter-mybatis,No,0
chillzhuang__blade-tool_blade-starter-oss,No,0
chillzhuang__blade-tool_blade-starter-redis,No,0
chillzhuang__blade-tool_blade-starter-report,No,0
chillzhuang__blade-tool_blade-starter-social,No,0
chillzhuang__blade-tool_blade-starter-swagger,No,0
chillzhuang__blade-tool_blade-starter-tenant,No,0
chillzhuang__blade-tool_blade-starter-transaction,No,0
code4craft__webmagic_webmagic-core,No,0
code4craft__webmagic_webmagic-extension,No,0
code4craft__webmagic_webmagic-samples,No,0
code4craft__webmagic_webmagic-saxon,No,0
code4craft__webmagic_webmagic-scripts,No,0
code4craft__webmagic_webmagic-selenium,No,0
codecentric__chaos-monkey-spring-boot_chaos-monkey-demo-app,No,0
codecentric__chaos-monkey-spring-boot_chaos-monkey-demo-app-ext-jar,No,0
codecentric__chaos-monkey-spring-boot_chaos-monkey-demo-app-jdbc,No,0
codecentric__chaos-monkey-spring-boot_chaos-monkey-demo-app-naked,No,0
codecentric__chaos-monkey-spring-boot_chaos-monkey-demo-app-unleash-toggles,No,0
codecentric__chaos-monkey-spring-boot_chaos-monkey-spring-boot,No,0
codecentric__chaos-monkey-spring-boot_chaos-monkey-web-reactive-app,No,0
commonmark__commonmark-java_commonmark,No,0
commonmark__commonmark-java_commonmark-ext-autolink,No,0
commonmark__commonmark-java_commonmark-ext-footnotes,No,0
commonmark__commonmark-java_commonmark-ext-gfm-strikethrough,No,0
commonmark__commonmark-java_commonmark-ext-gfm-tables,No,0
commonmark__commonmark-java_commonmark-ext-heading-anchor,No,0
commonmark__commonmark-java_commonmark-ext-image-attributes,No,0
commonmark__commonmark-java_commonmark-ext-ins,No,0
commonmark__commonmark-java_commonmark-ext-task-list-items,No,0
commonmark__commonmark-java_commonmark-ext-yaml-front-matter,No,0
commonmark__commonmark-java_commonmark-integration-test,No,0
commonmark__commonmark-java_commonmark-test-util,No,0
confluentinc__ksql_ksqldb-benchmark,No,0
confluentinc__ksql_ksqldb-engine-common,No,0
confluentinc__ksql_ksqldb-metastore,No,0
confluentinc__ksql_ksqldb-rest-model,No,0
confluentinc__ksql_ksqldb-stream-lib,No,0
confluentinc__ksql_ksqldb-test-util,No,0
confluentinc__ksql_ksqldb-testing-tool,No,0
confluentinc__ksql_ksqldb-udf,No,0
confluentinc__ksql_ksqldb-version-metrics-client,No,0
confluentinc__ksql_udf-example,No,0
confluentinc__ksql_udf-example-2,No,0
confluentinc__ksql_udf-failing-tests,No,0
confluentinc__ksql_udf-isolated,No,0
continew-org__continew-admin_continew-common,No,0
continew-org__continew-admin_continew-extension-schedule-server,No,0
continew-org__continew-admin_continew-plugin-generator,No,0
continew-org__continew-admin_continew-plugin-open,No,0
continew-org__continew-admin_continew-plugin-schedule,No,0
continew-org__continew-admin_continew-plugin-tenant,No,0
continew-org__continew-admin_continew-server,No,0
Cosium__git-code-format-maven-plugin_core,No,0
Cosium__git-code-format-maven-plugin_google-java-format,No,0
Cosium__git-code-format-maven-plugin_spi,No,0
Cosium__spring-data-jpa-entity-graph_generator,No,0
crawler-commons__crawler-commons_crawler-commons__crawler-commons,No,0
crossoverJie__cim_cim-client,No,0
crossoverJie__cim_cim-client-sdk,No,0
crossoverJie__cim_cim-common,No,0
crossoverJie__cim_cim-forward-route,No,0
crossoverJie__cim_cim-integration-test,No,0
crossoverJie__cim_cim-persistence-api,No,0
crossoverJie__cim_cim-persistence-mysql,No,0
crossoverJie__cim_cim-persistence-redis,No,0
crossoverJie__cim_cim-rout-api,No,0
crossoverJie__cim_cim-server,No,0
crossoverJie__cim_cim-server-api,No,0
cucumber__cucumber-jvm_calculator-java-cli,No,0
cucumber__cucumber-jvm_calculator-java-junit4,No,0
cucumber__cucumber-jvm_calculator-java-junit5,No,0
cucumber__cucumber-jvm_calculator-java-testng,No,0
cucumber__cucumber-jvm_calculator-java8-cli,No,0
cucumber__cucumber-jvm_cucumber-gherkin,No,0
cucumber__cucumber-jvm_cucumber-gherkin-messages,No,0
cucumber__cucumber-jvm_cucumber-guice,No,0
cucumber__cucumber-jvm_cucumber-jakarta-cdi,No,0
cucumber__cucumber-jvm_cucumber-jakarta-openejb,No,0
cucumber__cucumber-jvm_cucumber-java,No,0
cucumber__cucumber-jvm_cucumber-java8,No,0
cucumber__cucumber-jvm_cucumber-junit,No,0
cucumber__cucumber-jvm_cucumber-junit-platform-engine,No,0
cucumber__cucumber-jvm_cucumber-openejb,No,0
cucumber__cucumber-jvm_cucumber-picocontainer,No,0
cucumber__cucumber-jvm_cucumber-plugin,No,0
cucumber__cucumber-jvm_cucumber-spring,No,0
cucumber__cucumber-jvm_cucumber-testng,No,0
cucumber__cucumber-jvm_datatable,No,0
cucumber__cucumber-jvm_datatable-matchers,No,0
cucumber__cucumber-jvm_docstring,No,0
cucumber__cucumber-jvm_spring-java-junit5,No,0
cucumber__cucumber-jvm_wicket-main,No,0
damianszczepanik__cucumber-reporting_damianszczepanik__cucumber-reporting,No,0
daoshenzzg__socket-mqtt_daoshenzzg__socket-mqtt,No,0
darrachequesne__spring-data-jpa-datatables_darrachequesne__spring-data-jpa-datatables,No,0
dasniko__testcontainers-keycloak_dasniko__testcontainers-keycloak,No,0
databricks__learning-spark_mini-complete-example,No,0
davidB__scala-maven-plugin_davidB__scala-maven-plugin,No,0
davidmoten__geo_geo,No,0
davidmoten__geo_geo-mem,No,0
davidmoten__rtree_davidmoten__rtree,No,0
davidmoten__rxjava-jdbc_davidmoten__rxjava-jdbc,No,0
davidmoten__rxjava2-jdbc_rxjava2-jdbc-stored-procedure,No,0
davidmoten__rxjava2-jdbc_rxjava2-pool,No,0
dependency-check__dependency-check-sonar-plugin_module1,No,0
dependency-check__dependency-check-sonar-plugin_module2,No,0
dependency-check__dependency-check-sonar-plugin_module3,No,0
dependency-check__dependency-check-sonar-plugin_single-module-maven,No,0
dependency-check__dependency-check-sonar-plugin_sonar-dependency-check-plugin,No,0
DerekYRC__mini-spring_DerekYRC__mini-spring,No,0
dflib__dflib_dflib-avro,No,0
dflib__dflib_dflib-benchmark,No,0
dflib__dflib_dflib-csv,No,0
dflib__dflib_dflib-echarts,No,0
dflib__dflib_dflib-excel,No,0
dflib__dflib_dflib-jdbc,No,0
dflib__dflib_dflib-json,No,0
dflib__dflib_dflib-junit5,No,0
dflib__dflib_dflib-jupyter,No,0
dflib__dflib_dflib-parquet,No,0
dibo-software__diboot_diboot-ai-starter,No,0
dibo-software__diboot_diboot-file-starter,No,0
dibo-software__diboot_diboot-mobile-starter,No,0
dibo-software__diboot_diboot-notification-starter,No,0
dibo-software__diboot_diboot-scheduler-starter,No,0
dibo-software__diboot_diboot-tenant-starter,No,0
dibo-software__diboot_rest-api-example,No,0
dicoogle__dicoogle_sdk,No,0
digitalpetri__modbus_modbus,No,0
digitalpetri__modbus_modbus-serial,No,0
doubleDimple__oci-start_oci-common,No,0
DozerMapper__dozer_dozer-spring-boot-autoconfigure,No,0
DozerMapper__dozer_dozer-spring4,No,0
dromara__dante-cloud_authentication-spring-boot-starter,No,0
dromara__dante-cloud_dante-cloud-bpmn-ability,No,0
dromara__dante-cloud_dante-cloud-bpmn-logic,No,0
dromara__dante-cloud_dante-cloud-gateway,No,0
dromara__dante-cloud_dante-cloud-message,No,0
dromara__dante-cloud_dante-cloud-monitor,No,0
dromara__dante-cloud_dante-cloud-oss-ability,No,0
dromara__dante-cloud_dante-cloud-uaa,No,0
dromara__dante-cloud_dante-cloud-upms,No,0
dromara__dante-cloud_dante-module-common,No,0
dromara__dante-cloud_dante-module-metadata,No,0
dromara__dante-cloud_dante-module-social,No,0
dromara__dante-cloud_dante-module-strategy,No,0
dromara__dante-cloud_dante-monomer-application,No,0
dromara__dante-cloud_dante-monomer-autoconfigure,No,0
dromara__dante-cloud_facility-spring-boot-starter,No,0
dromara__dante-cloud_service-spring-boot-starter,No,0
dromara__forest_example-chatgpt,No,0
dromara__forest_example-deepseek,No,0
dromara__forest_example-springboot,No,0
dromara__forest_example-springboot3,No,0
dromara__forest_forest-jakarta-xml,No,0
dromara__forest_forest-jaxb,No,0
dromara__forest_forest-mock,No,0
dromara__forest_forest-spring,No,0
dromara__forest_forest-spring-boot-starter,No,0
dromara__forest_forest-spring-boot-test,No,0
dromara__forest_forest-spring-boot3-starter,No,0
dromara__forest_forest-spring-boot3-test,No,0
dromara__Jinx_dromara__Jinx,No,0
dromara__Jpom_agent-transport-common,No,0
dromara__Jpom_agent-transport-http,No,0
dromara__Jpom_docker-cli,No,0
dromara__Jpom_email,No,0
dromara__Jpom_encrypt,No,0
dromara__Jpom_git-clone,No,0
dromara__Jpom_ssh-jsch,No,0
dromara__Jpom_storage-module-common,No,0
dromara__Jpom_storage-module-h2,No,0
dromara__Jpom_storage-module-mariadb,No,0
dromara__Jpom_storage-module-mysql,No,0
dromara__Jpom_storage-module-postgresql,No,0
dromara__Jpom_svn-clone,No,0
dromara__Jpom_webhook,No,0
dromara__mica-mqtt_mica-mqtt-client-solon-plugin-example,No,0
dromara__mica-mqtt_mica-mqtt-client-spring-boot-example,No,0
dromara__mica-mqtt_mica-mqtt-codec,No,0
dromara__mica-mqtt_mica-mqtt-common,No,0
dromara__mica-mqtt_mica-mqtt-server-jfinal-plugin,No,0
dromara__mica-mqtt_mica-mqtt-server-solon-plugin-example,No,0
dromara__mica-mqtt_mica-mqtt-server-spring-boot-example,No,0
dromara__orion-visor_orion-visor-common,No,0
dromara__orion-visor_orion-visor-launch,No,0
dromara__orion-visor_orion-visor-module-asset-provider,No,0
dromara__orion-visor_orion-visor-module-asset-service,No,0
dromara__orion-visor_orion-visor-module-common,No,0
dromara__orion-visor_orion-visor-module-exec-provider,No,0
dromara__orion-visor_orion-visor-module-infra-provider,No,0
dromara__orion-visor_orion-visor-module-terminal-provider,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-banner,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-biz-operator-log,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-config,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-datasource,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-desensitize,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-encrypt,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-job,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-log,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-monitor,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-redis,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-security,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-storage,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-swagger,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-test,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-web,No,0
dromara__orion-visor_orion-visor-spring-boot-starter-websocket,No,0
dromara__RuoYi-Vue-Plus_ruoyi-admin,No,0
dromara__RuoYi-Vue-Plus_ruoyi-common-core,No,0
dromara__RuoYi-Vue-Plus_ruoyi-common-doc,No,0
