Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Direct_Dependency_Old_Version,Direct_Dependency_New_Version,Release_Type,Usage_Location,Usage_Line,Usage_Context,Usage_Type
io.swagger.core.v3:swagger-annotations,2.2.25,2.2.37,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,false,1,io.swagger.core.v3:swagger-annotations,,,PATCH,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-swagger-2\src\main\java\com\github\victools\jsonschema\module\swagger2\Swagger2Module.java,219,io.swagger.v3.oas.annotations.media.Schema.AccessMode,ClassOrInterfaceType
io.swagger.core.v3:swagger-annotations,2.2.25,2.2.37,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,false,1,io.swagger.core.v3:swagger-annotations,,,PATCH,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-swagger-2\src\main\java\com\github\victools\jsonschema\module\swagger2\Swagger2Module.java,230,io.swagger.v3.oas.annotations.media.Schema.AccessMode,ClassOrInterfaceType
io.swagger.core.v3:swagger-annotations,2.2.25,2.2.37,io.swagger.v3.oas.annotations.media.Schema,$dynamicRef,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,false,1,io.swagger.core.v3:swagger-annotations,,,PATCH,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-swagger-2\src\main\java\com\github\victools\jsonschema\module\swagger2\Swagger2Module.java,171,io.swagger.v3.oas.annotations.media.Schema.RequiredMode,FieldAccessExpr
