project,submodule,total_unique_dependencies,omitted_conflict_count,omitted_conflict_percentage,version_managed_count,version_managed_percentage
1024-lab__smart-admin,sa-admin,2,0,0.0,0,0.0
1024-lab__smart-admin,sa-base,233,2,0.86,38,16.31
201206030__novel-cloud,novel-author-api,56,2,3.57,14,25.0
201206030__novel-cloud,novel-author-service,439,17,3.87,61,13.9
201206030__novel-cloud,novel-book-api,86,2,2.33,19,22.09
201206030__novel-cloud,novel-book-service,439,16,3.64,61,13.9
201206030__novel-cloud,novel-common,40,0,0.0,13,32.5
201206030__novel-cloud,novel-config,456,18,3.95,61,13.38
201206030__novel-cloud,novel-gateway,135,4,2.96,25,18.52
201206030__novel-cloud,novel-home,438,16,3.65,61,13.93
201206030__novel-cloud,novel-monitor,128,1,0.78,24,18.75
201206030__novel-cloud,novel-news-api,41,0,0.0,13,31.71
201206030__novel-cloud,novel-news-service,438,16,3.65,62,14.16
201206030__novel-cloud,novel-resource,437,16,3.66,61,13.96
201206030__novel-cloud,novel-search,457,15,3.28,51,11.16
201206030__novel-cloud,novel-user-api,86,2,2.33,19,22.09
201206030__novel-cloud,novel-user-service,439,17,3.87,61,13.9
201206030__novel-plus,novel-admin,369,18,4.88,37,10.03
201206030__novel-plus,novel-common,269,4,1.49,19,7.06
201206030__novel-plus,novel-crawl,61,0,0.0,3,4.92
201206030__novel-plus,novel-front,123,2,1.63,17,13.82
201206030__novel,201206030__novel,394,5,1.27,40,10.15
373675032__moti-cloud,373675032__moti-cloud,113,0,0.0,0,0.0
4ra1n__class-obf,4ra1n__class-obf,6,0,0.0,0,0.0
642933588__jiron-cloud,jiron-api-dolphinscheduler,87,0,0.0,10,11.49
642933588__jiron-cloud,jiron-api-system,87,0,0.0,10,11.49
642933588__jiron-cloud,jiron-auth,150,0,0.0,24,16.0
642933588__jiron-cloud,jiron-common-core,86,0,0.0,10,11.63
642933588__jiron-cloud,jiron-common-datascope,104,0,0.0,15,14.42
642933588__jiron-cloud,jiron-common-datasource,43,0,0.0,12,27.91
642933588__jiron-cloud,jiron-common-log,104,0,0.0,15,14.42
642933588__jiron-cloud,jiron-common-redis,100,0,0.0,16,16.0
642933588__jiron-cloud,jiron-common-security,103,0,0.0,14,13.59
642933588__jiron-cloud,jiron-common-sensitive,104,0,0.0,15,14.42
642933588__jiron-cloud,jiron-common-swagger,59,0,0.0,9,15.25
642933588__jiron-cloud,jiron-common-translation,91,0,0.0,10,10.99
642933588__jiron-cloud,jiron-gateway,183,0,0.0,33,18.03
642933588__jiron-cloud,jiron-file,178,0,0.0,35,19.66
642933588__jiron-cloud,jiron-gen,170,0,0.0,30,17.65
642933588__jiron-cloud,jiron-job,171,0,0.0,29,16.96
642933588__jiron-cloud,jiron-system,182,0,0.0,29,15.93
642933588__jiron-cloud,jiron-monitor,121,0,0.0,17,14.05
818000__bus,bus-all,37,0,0.0,0,0.0
818000__bus,bus-auth,58,0,0.0,0,0.0
818000__bus,bus-base,36,0,0.0,0,0.0
818000__bus,bus-bom,36,0,0.0,0,0.0
818000__bus,bus-cache,65,2,3.08,0,0.0
818000__bus,bus-core,3,0,0.0,0,0.0
818000__bus,bus-cron,6,0,0.0,0,0.0
818000__bus,bus-crypto,9,0,0.0,0,0.0
818000__bus,bus-extra,162,12,7.41,0,0.0
