project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
TongchengOpenSource__smart-doc,TongchengOpenSource__smart-doc,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.8.21,1.9.10,3,5,compile,compile,omitted_conflict
TongchengOpenSource__smart-doc,TongchengOpenSource__smart-doc,org.jetbrains.kotlin:kotlin-stdlib-common,1.9.10,1.8.21,5,5,compile,compile,omitted_conflict
TongchengOpenSource__smart-doc,TongchengOpenSource__smart-doc,org.slf4j:slf4j-api,2.0.17,1.7.30,1,2,compile,compile,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
TongchengOpenSource__smart-doc,35,,,,,,,,
