Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Direct_Dependency_Old_Version,Direct_Dependency_New_Version,Release_Type,Usage_Location,Usage_Line,Usage_Context,Usage_Type
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\parse\ChapterParser.java,154,org.jsoup.select.Elements,ClassOrInterfaceType
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\parse\SearchParser.java,127,org.jsoup.select.Elements,ClassOrInterfaceType
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\parse\SearchParser.java,89,org.jsoup.select.Elements,ClassOrInterfaceType
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\parse\SearchParserQuanben5.java,82,org.jsoup.select.Elements,ClassOrInterfaceType
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\parse\TocParser.java,83,org.jsoup.select.Elements,ClassOrInterfaceType
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\util\JsoupUtils.java,105,org.jsoup.select.Elements,ClassOrInterfaceType
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\util\JsoupUtils.java,22,org.jsoup.select.Elements,ClassOrInterfaceType
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\parse\ChapterParser.java,167,org.jsoup.select.Elements,ClassOrInterfaceType
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\parse\ChapterParser.java,140,org.jsoup.select.Elements,ClassOrInterfaceType
org.jsoup:jsoup,1.20.1,1.21.2,org.jsoup.select.Elements,org.jsoup.select.Elements,CLASS_CHANGE,METHOD_ABSTRACT_ADDED_IN_IMPLEMENTED_INTERFACE; METHOD_DEFAULT_ADDED_IN_IMPLEMENTED_INTERFACE,true,false,false,1,org.jsoup:jsoup,,,MINOR,C:\Users\tyin363\Documents\repos\freeok__so-novel\src\main\java\com\pcdd\sonovel\util\JsoupUtils.java,66,org.jsoup.select.Elements,ClassOrInterfaceType
