Metric,Value
total_projects_analyzed,1806.0
total_breaking_changes,2052819.0
total_used_breaking_changes,4189.0
usage_rate,0.20406085485374015
total_unique_libraries,1328.0
binary_compatibility_rate,8.284997362163931
source_compatibility_rate,0.0
direct_breaking_changes,544969.0
transitive_breaking_changes,1507850.0
direct_used_breaking_changes,2203.0
transitive_used_breaking_changes,1986.0
avg_breaking_changes_per_project,1136.6661129568106
avg_used_changes_per_project,1.535437430786268
projects_with_used_changes,315.0
direct_used_breaking_changes,2203.0
transitive_used_breaking_changes,1986.0
