Project,Total_Breaking_Changes,Used_Breaking_Changes,Binary_Compatibility_Rate,Source_Compatibility_Rate,Transitive_Changes,Usage_Rate
Hakky54__sslcontext-kickstart_sslcontext-kickstart-for-apache5,67,0,0.1791044776119403,0.0,67,0.0
Hakky54__sslcontext-kickstart_sslcontext-kickstart-for-jetty,67,0,0.1791044776119403,0.0,67,0.0
Hakky54__sslcontext-kickstart_sslcontext-kickstart-for-netty,115,0,0.3130434782608696,0.0,115,0.0
Hakky54__sslcontext-kickstart_sslcontext-kickstart-for-pem,1639,0,0.007931665649786455,0.0,1639,0.0
IQSS__dataverse_zipdownload,142,0,0.18309859154929578,0.0,85,0.0
Jaspersoft__jasperreports_barbecue,311,0,0.04823151125401929,0.0,193,0.0
Jaspersoft__jasperreports_barcode4j,165,0,0.08484848484848485,0.0,151,0.0
Jaspersoft__jasperreports_chart-customizers,193,0,0.046632124352331605,0.0,42,0.0
Jaspersoft__jasperreports_data-adapters,346,0,0.04335260115606936,0.0,193,0.0
Jaspersoft__jasperreports_data-adapters-http,160,0,0.05625,0.0,151,0.0
Jaspersoft__jasperreports_ejbql,122,2,1.0,0.0,0,1.639344262295082
Jaspersoft__jasperreports_hibernate,122,0,1.0,0.0,0,0.0
Jaspersoft__jasperreports_javascript,637,4,0.0031397174254317113,0.0,0,0.6279434850863422
Jaspersoft__jasperreports_json,193,0,0.046632124352331605,0.0,42,0.0
Jaspersoft__jasperreports_metadata,186,0,0.03225806451612903,0.0,42,0.0
Jaspersoft__jasperreports_pdf,201,11,0.004975124378109453,0.0,84,5.472636815920398
Jaspersoft__jasperreports_servlets,2,0,0.5,0.0,0,0.0
Kong__unirest-java_unirest-modules-gson,18,0,0.0,0.0,15,0.0
Kong__unirest-java_unirest-modules-jackson,235,0,0.01702127659574468,0.0,165,0.0
Kong__unirest-java_unirest-modules-mocks,15,0,0.0,0.0,15,0.0
LiuYuYang01__ThriveX-Server_blog,9163,46,0.08938120702826585,0.0,7845,0.5020189894139474
LiuYuYang01__ThriveX-Server_model,1688,1,0.06457345971563981,0.0,1632,0.05924170616113744
LnYo-Cly__ai4j_ai4j-spring-boot-starter,2,0,0.0,0.0,0,0.0
LuckyPuppy514__jproxy_LuckyPuppy514__jproxy,4315,53,0.0977983777520278,0.0,3190,1.228273464658169
MarcGiffing__bucket4j-spring-boot-starter_bucket4j-spring-boot-starter,359,0,0.42896935933147634,0.0,212,0.0
MarcGiffing__bucket4j-spring-boot-starter_bucket4j-spring-boot-starter-context,8,0,0.375,0.0,0,0.0
MarcGiffing__bucket4j-spring-boot-starter_caffeine,123,0,0.04878048780487805,0.0,121,0.0
MarcGiffing__bucket4j-spring-boot-starter_ehcache,8306,0,0.002528292800385264,0.0,8306,0.0
MarcGiffing__bucket4j-spring-boot-starter_gateway,153,0,0.0392156862745098,0.0,153,0.0
MarcGiffing__bucket4j-spring-boot-starter_general-tests,121,1,0.049586776859504134,0.0,121,0.8264462809917356
MarcGiffing__bucket4j-spring-boot-starter_hazelcast,121,0,0.049586776859504134,0.0,121,0.0
MarcGiffing__bucket4j-spring-boot-starter_redis-jedis,162,0,0.18518518518518517,0.0,138,0.0
MarcGiffing__bucket4j-spring-boot-starter_redis-lettuce,204,0,0.5098039215686274,0.0,104,0.0
MarcGiffing__bucket4j-spring-boot-starter_redis-redisson,104,0,0.038461538461538464,0.0,104,0.0
MarcGiffing__bucket4j-spring-boot-starter_webflux,104,0,0.038461538461538464,0.0,104,0.0
MarcGiffing__bucket4j-spring-boot-starter_webflux-infinispan,8145,0,0.0009821976672805403,0.0,8145,0.0
MariaDB4j__MariaDB4j_mariaDB4j-app,54,0,0.24074074074074073,0.0,13,0.0
MrMicky-FR__FastBoard_MrMicky-FR__FastBoard,73,0,0.8082191780821918,0.0,36,0.0
OpenGamma__Strata_data,74,0,0.17567567567567569,0.0,18,0.0
OpenGamma__Strata_examples,74,0,0.17567567567567569,0.0,18,0.0
OpenGamma__Strata_report,74,0,0.17567567567567569,0.0,18,0.0
OpenHFT__Chronicle-Bytes_microbenchmarks,56,0,0.35714285714285715,0.0,49,0.0
OpenHFT__Chronicle-Core_benchmarks,56,0,0.35714285714285715,0.0,49,0.0
OpenHFT__Chronicle-Logger_benchmark,141,0,0.3049645390070922,0.0,78,0.0
OpenHFT__Chronicle-Logger_logger-core,107,0,0.308411214953271,0.0,50,0.0
OpenHFT__Chronicle-Logger_logger-jcl,107,0,0.308411214953271,0.0,50,0.0
OpenHFT__Chronicle-Logger_logger-jul,107,0,0.308411214953271,0.0,50,0.0
OpenHFT__Chronicle-Logger_logger-log4j-1,157,0,0.21019108280254778,0.0,50,0.0
OpenHFT__Chronicle-Logger_logger-log4j-2,113,0,0.2920353982300885,0.0,50,0.0
OpenHFT__Chronicle-Logger_logger-logback,107,0,0.308411214953271,0.0,50,0.0
OpenHFT__Chronicle-Logger_logger-slf4j,107,0,0.308411214953271,0.0,50,0.0
OpenHFT__Chronicle-Logger_logger-slf4j-2,107,0,0.308411214953271,0.0,50,0.0
